recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,3522865445.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2031672746.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,2675565428.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,3413592130.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,3584439624.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,2987435999.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2111345655.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,2370133644.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,1997739433.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2940962973.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3252010714.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,2423225274.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,3243607486.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3748615132.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3486693484.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,1895635636.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2621568775.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3266170672.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3394289399.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2207300092.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,1833135444.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,2187275243.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,3212522453.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,3405051625.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,1892949468.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,2488731629.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,1726987436.000000,1.6,1.61,1,2,30,1000,2147483647
0,0,0,2538799615.000000,1.5,1.51,1,2,30,1000,2147483647
0,0,0,3743494957.000000,1.4,1.41,1,2,30,1000,2147483647
0,0,0,2042512905.000000,1.3,1.31,1,2,30,1000,2147483647
0,0,0,3231958285.000000,1.2,1.21,1,2,30,1000,2147483647
0,0,0,2992169370.000000,1.1,1.11,1,2,30,1000,2147483647
0,0,0,1806544062.000000,1,1.01,1,2,30,1000,2147483647
0,0,0,1952600011.000000,0.9,0.91,1,2,30,1000,2147483647
0,0,0,3400735135.000000,0.8,0.81,1,2,30,1000,2147483647
0,0,0,2466050556.000000,0.7,0.71,1,2,30,1000,2147483647
0,0,0,3422285494.000000,0.6,0.61,1,2,30,1000,2147483647
0,0,0,2010525543.000000,0.5,0.51,1,2,30,1000,2147483647
0,0,0,2028620782.000000,0.4,0.41,1,2,30,1000,2147483647
0,0,0,3548168082.000000,0.3,0.31,1,2,30,1000,2147483647
0,0,0,2450911159.000000,0.2,0.21,1,2,30,1000,2147483647
0,0,0,2090607967.000000,0.1,0.11,1,2,30,1000,2147483647
0,0,0,2620492798.000000,0.01,0.02,1,2,30,1000,2147483647
0,0,0,3275251821.000000,1,1.1,-1,-1,30,1000,2147483647
