recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,3293464683.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2597499410.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2464898647.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3549104732.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2260375379.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3596545001.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2652948767.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2606194660.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,1884459593.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3271349805.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2745787936.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,2799071740.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,1800820093.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,2449963668.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,3172217905.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,2668345849.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,3362602887.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,3363688903.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,2883240529.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,3168683685.000000,1.9,1.91,1,2,50,1000,2147483647
0,0,0,2836156979.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,1690833553.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,2232860565.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,1735363049.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,2294113760.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,3128661805.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,3646399716.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,1860198597.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,3666964740.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,1967439017.000000,1.8,1.81,1,2,50,1000,2147483647
0,0,0,2336963169.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,2666809719.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,1941354567.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,2349114455.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,3785151424.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,2121508864.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,3357164070.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,1958729559.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,3293734582.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,3023721114.000000,1.7,1.71,1,2,50,1000,2147483647
0,0,0,2260655523.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,1748472507.000000,1.6,1.61,1,2,50,1000,2147483647
