recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
25,0,0,3172226397.000000,0.000000,-1,-1,1,2,50,25,2147483647
27,0,0,3386443499.000000,0.000000,-1,-1,1,2,50,1000,2147483647
24,0,0,2916048432.000000,0.000000,-1,-1,1,2,50,24,2147483647
26,0,0,2260920055.000000,0.000000,-1,-1,1,2,50,1000,2147483647
23,0,0,2971742756.000000,0.000000,-1,-1,1,2,50,23,2147483647
26,0,0,3224252677.000000,0.000000,-1,-1,1,2,50,1000,2147483647
23,0,0,3183920988.000000,0.000000,-1,-1,1,2,50,1000,2147483647
26,0,0,2614626711.000000,0.000000,-1,-1,1,2,50,1000,2147483647
24,0,0,2619449330.000000,0.000000,-1,-1,1,2,50,1000,2147483647
22,0,0,2909452150.000000,0.000000,-1,-1,1,2,50,22,2147483647
-1,-1,-1,2899160423.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2212915860.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
20,2,2,2473340703.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2206139756.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3759370616.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3524383670.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2926484766.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2007915520.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2565456108.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3626264348.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3723871983.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
19,8,8,1951849367.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,3009153463.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,1764877486.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2180795499.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2358275783.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2928732007.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2938555788.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,3688930222.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2693249341.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,3735148564.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2978675959.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3384449308.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3645114283.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3600936193.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2583508109.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2102059990.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
