recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
1,3,55,1392,0.002004,1.9,1,1.3
0,2,53,1321873887,0.002306,1.9,1,1.3
0,3,51,1429560251,0.004158,1.9,1,1.3
0,4,50,1658437952,0.003097,1.9,1,1.3
0,3,51,1672358449,0.001646,1.9,1,1.3
0,3,51,1672358449,0.001661,2,1,1.3
0,4,52,1589409943,0.001901,2,1,1.3
0,6,49,1550406641,0.002085,2,1,1.3
0,6,53,1925473169,0.006238,2,1,1.3
0,2,51,98990266,0.001564,2,1,1.3
0,2,51,98990266,0.001989,3,1,1.3
0,2,54,954026597,0.001609,3,1,1.3
0,2,50,1656903176,0.001760,3,1,1.3
0,5,47,468326042,0.001994,3,1,1.3
0,3,50,1542563011,0.006191,3,1,1.3
0,3,51,1542563011,0.002507,50,1,1.3
0,1,54,1183233569,0.002536,50,1,1.3
0,2,52,2093965992,0.001749,50,1,1.3
0,3,50,418850963,0.001673,50,1,1.3
0,2,51,439430769,0.001778,50,1,1.3
0,2,52,439430769,0.002613,1.9,1,1.5
0,3,54,1181323519,0.003054,1.9,1,1.5
0,3,52,1735010782,0.001996,1.9,1,1.5
0,3,50,1077843568,0.001968,1.9,1,1.5
1,7,52,1397489480,0.002343,1.9,1,1.5
0,7,52,1397489480,0.002399,2,1,1.5
0,3,51,1350435100,0.001655,2,1,1.5
0,4,51,2109947209,0.001920,2,1,1.5
0,6,47,1698003908,0.002033,2,1,1.5
0,2,54,1206479897,0.001869,2,1,1.5
0,2,54,1206479897,0.003362,3,1,1.5
0,3,51,39821961,0.001758,3,1,1.5
0,4,50,610524093,0.003281,3,1,1.5
0,3,50,1207568780,0.002126,3,1,1.5
0,3,50,1789321506,0.002050,3,1,1.5
0,3,50,1789321506,0.002270,50,1,1.5
0,4,48,1937996683,0.001859,50,1,1.5
0,4,52,2096271727,0.002087,50,1,1.5
0,3,51,1131276505,0.001439,50,1,1.5
0,8,47,1586809366,0.005151,50,1,1.5
6,2,47,1586809366,0.005126,1.9,1,2
2,1,51,679596188,0.001563,1.9,1,2
1,0,55,161577580,0.001399,1.9,1,2
3,0,49,721459361,0.001369,1.9,1,2
1,1,50,1066537292,0.001412,1.9,1,2
0,2,51,1066537292,0.003056,2,1,2
0,5,58,1960169991,0.002423,2,1,2
0,4,51,337363045,0.005142,2,1,2
0,0,55,1298861119,0.001438,2,1,2
0,1,54,1754001984,0.001453,2,1,2
0,2,53,1754001984,0.001630,3,1,2
0,1,54,1094594357,0.001408,3,1,2
0,0,56,1872228644,0.001430,3,1,2
0,3,49,199947879,0.001824,3,1,2
0,1,52,940120057,0.001529,3,1,2
0,2,51,940120057,0.004236,50,1,2
0,0,55,521352938,0.002882,50,1,2
0,2,54,41497302,0.001627,50,1,2
0,2,53,1455335353,0.001532,50,1,2
0,3,53,458113858,0.001885,50,1,2
3,1,53,458113858,0.001748,1.9,1,3
5,1,52,1974732966,0.001761,1.9,1,3
1,0,56,582151530,0.002391,1.9,1,3
1,0,53,2033903636,0.002602,1.9,1,3
3,0,51,1472961683,0.001424,1.9,1,3
0,0,57,1472961683,0.002912,2,1,3
1,0,59,590858936,0.001772,2,1,3
0,0,59,1068996322,0.001521,2,1,3
0,0,55,859957093,0.001164,2,1,3
0,0,56,59382491,0.001388,2,1,3
0,0,55,59382491,0.001467,3,1,3
0,0,57,107815621,0.001739,3,1,3
0,1,56,109414972,0.001292,3,1,3
0,0,58,335124201,0.001346,3,1,3
0,0,56,1862975426,0.001482,3,1,3
0,0,56,1862975426,0.001520,50,1,3
0,0,58,300742403,0.001750,50,1,3
0,0,57,574934214,0.001762,50,1,3
0,0,60,246866783,0.002942,50,1,3
0,0,56,212015454,0.001349,50,1,3
1,0,53,212015454,0.001592,1.9,1,50
2,0,52,283596185,0.001437,1.9,1,50
2,0,52,730339564,0.001781,1.9,1,50
1,0,55,1581750840,0.001668,1.9,1,50
6,0,51,884939228,0.001481,1.9,1,50
0,0,59,884939228,0.001337,2,1,50
0,0,58,555654622,0.001394,2,1,50
0,0,54,367163650,0.001511,2,1,50
0,0,57,1445714996,0.002282,2,1,50
0,0,58,330957441,0.001485,2,1,50
0,0,58,330957441,0.002503,3,1,50
0,0,54,1236083600,0.002943,3,1,50
0,0,56,192631887,0.001568,3,1,50
0,0,54,2066429591,0.001323,3,1,50
0,0,55,242028890,0.001296,3,1,50
0,0,55,242028890,0.001244,50,1,50
0,0,60,1615520854,0.001570,50,1,50
0,0,57,2103733617,0.001154,50,1,50
0,0,56,456766675,0.001359,50,1,50
0,0,57,1991042486,0.001283,50,1,50
0,3,50,1128,0.002390,2,1,1.5
0,8,48,441738805,0.004229,2,1,1.5
0,10,47,1121411175,0.002967,2,1,1.5
0,8,47,1566060097,0.002498,2,1,1.5
0,11,47,429547516,0.003162,2,1,1.5
0,10,48,429547516,0.003276,3,1,1.5
0,6,50,2139558469,0.003282,3,1,1.5
0,6,51,1811747704,0.003789,3,1,1.5
0,8,46,1819476284,0.002872,3,1,1.5
0,6,50,376420891,0.001990,3,1,1.5
0,4,52,376420891,0.001963,50,1,1.5
0,7,46,1920883502,0.002824,50,1,1.5
0,8,45,1194560598,0.002203,50,1,1.5
0,15,45,453556746,0.004057,50,1,1.5
0,4,48,1805391659,0.001990,50,1,1.5
1,1,50,1805391659,0.002242,2,1,2
1,1,51,1736364385,0.001572,2,1,2
