recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
13,18,839,1149,0.064518,1.9,1,1.3
5,22,841,723754935,0.074022,1.9,1,1.3
10,17,849,995146934,0.065402,1.9,1,1.3
9,20,847,413031917,0.075995,1.9,1,1.3
8,15,847,2088204789,0.057811,1.9,1,1.3
0,14,862,2088204789,0.057361,2,1,1.3
1,17,857,432376134,0.054479,2,1,1.3
0,21,857,722073317,0.066421,2,1,1.3
1,15,863,1283001183,0.061942,2,1,1.3
0,16,860,452143078,0.046602,2,1,1.3
0,14,862,452143078,0.053745,3,1,1.3
0,21,857,2001367488,0.064760,3,1,1.3
0,20,861,784868819,0.057802,3,1,1.3
0,20,851,1227659727,0.058179,3,1,1.3
0,27,858,1640624451,0.072241,3,1,1.3
0,25,861,1640624451,0.084069,50,1,1.3
0,18,855,445557312,0.058000,50,1,1.3
0,21,850,2101334255,0.062950,50,1,1.3
0,27,849,1198195092,0.072941,50,1,1.3
0,26,847,1020512245,0.085508,50,1,1.3
9,26,833,1020512245,0.100603,1.9,1,1.5
8,21,851,1805785912,0.080770,1.9,1,1.5
6,26,841,1268654195,0.078252,1.9,1,1.5
12,19,839,682629694,0.061271,1.9,1,1.5
9,20,843,2063442411,0.075534,1.9,1,1.5
1,24,853,2063442411,0.079543,2,1,1.5
1,23,853,2002525780,0.060706,2,1,1.5
1,23,853,478280588,0.067701,2,1,1.5
1,26,848,2121520575,0.077654,2,1,1.5
0,18,857,1257127324,0.061281,2,1,1.5
0,18,858,1257127324,0.067250,3,1,1.5
0,21,855,2053130448,0.072028,3,1,1.5
0,29,853,690913687,0.065838,3,1,1.5
0,19,856,1489437955,0.056187,3,1,1.5
0,16,859,855265700,0.059838,3,1,1.5
0,17,856,855265700,0.068955,50,1,1.5
0,21,852,904959980,0.069342,50,1,1.5
0,21,859,764316652,0.056588,50,1,1.5
0,22,856,614645099,0.060637,50,1,1.5
0,26,847,275428970,0.070785,50,1,1.5
32,5,828,275428970,0.062945,1.9,1,2
25,4,851,1187861996,0.053095,1.9,1,2
21,3,846,749941206,0.050050,1.9,1,2
19,7,848,519836296,0.051503,1.9,1,2
22,3,848,364933481,0.049659,1.9,1,2
1,9,868,364933481,0.054964,2,1,2
1,15,865,585913114,0.064185,2,1,2
2,13,867,2009248640,0.047935,2,1,2
2,13,857,1647474856,0.047381,2,1,2
2,17,865,1180787201,0.060842,2,1,2
0,14,871,1180787201,0.051179,3,1,2
0,16,862,601648484,0.049202,3,1,2
0,17,872,1355160006,0.061282,3,1,2
0,15,862,778131539,0.046263,3,1,2
0,20,877,1634229668,0.069410,3,1,2
0,18,878,1634229668,0.069510,50,1,2
0,13,863,720595291,0.050152,50,1,2
0,19,872,1850799298,0.062140,50,1,2
0,15,865,750719691,0.040448,50,1,2
0,13,870,5184939,0.066936,50,1,2
24,0,860,5184939,0.058061,1.9,1,3
30,2,834,590120180,0.052455,1.9,1,3
33,0,846,1674635038,0.048567,1.9,1,3
25,0,862,1937667993,0.049254,1.9,1,3
19,3,845,1333759876,0.041973,1.9,1,3
4,5,871,1333759876,0.048107,2,1,3
10,2,889,1334294796,0.034102,2,1,3
6,3,883,1618810009,0.043273,2,1,3
6,1,883,1419706460,0.041744,2,1,3
5,3,882,1974886778,0.034325,2,1,3
0,7,883,1974886778,0.043716,3,1,3
0,6,886,532275320,0.038243,3,1,3
0,2,882,495335077,0.032501,3,1,3
0,5,895,309091951,0.045922,3,1,3
1,2,884,1712217889,0.031157,3,1,3
0,3,891,1712217889,0.040045,50,1,3
0,5,878,489916092,0.034344,50,1,3
0,8,889,1278077226,0.038786,50,1,3
0,8,873,491562971,0.039662,50,1,3
0,5,883,450638302,0.042112,50,1,3
28,0,852,450638302,0.059962,1.9,1,50
24,0,858,460165614,0.048076,1.9,1,50
25,0,847,1020938777,0.044537,1.9,1,50
20,0,865,1958670482,0.045926,1.9,1,50
27,0,853,263955924,0.049978,1.9,1,50
6,0,889,263955924,0.040057,2,1,50
6,0,887,1822633823,0.035846,2,1,50
11,0,886,155458289,0.043644,2,1,50
11,0,886,1033930466,0.036546,2,1,50
4,0,894,335444953,0.035522,2,1,50
0,0,903,335444953,0.038513,3,1,50
1,0,904,1942860655,0.027344,3,1,50
3,0,891,1539571571,0.037339,3,1,50
1,0,904,572636252,0.027011,3,1,50
3,0,886,1054765603,0.034457,3,1,50
0,0,901,1054765603,0.038112,50,1,50
0,0,902,989328293,0.030890,50,1,50
0,0,907,1516724650,0.030007,50,1,50
0,0,912,2016131781,0.030051,50,1,50
0,0,906,76055184,0.028721,50,1,50
1,82,795,1382,0.184556,2,1,1.5
1,77,800,1599432500,0.157311,2,1,1.5
3,69,801,185817589,0.156744,2,1,1.5
4,88,790,1257263548,0.173226,2,1,1.5
2,78,794,559510878,0.156685,2,1,1.5
0,80,797,559510878,0.168606,3,1,1.5
0,85,807,1851362660,0.175242,3,1,1.5
0,82,803,2000864727,0.159049,3,1,1.5
0,84,802,347797931,0.190209,3,1,1.5
0,91,800,74133551,0.199576,3,1,1.5
0,97,789,74133551,0.218008,50,1,1.5
0,78,799,1626856473,0.166614,50,1,1.5
0,69,806,596883129,0.162529,50,1,1.5
0,74,810,2079372581,0.159415,50,1,1.5
0,71,812,1834402480,0.137550,50,1,1.5
10,9,865,1834402480,0.056117,2,1,2
7,12,860,2074108541,0.061523,2,1,2
4,17,856,1013416496,0.054666,2,1,2
9,14,849,1663072875,0.053245,2,1,2
10,17,849,534056997,0.068324,2,1,2
1,19,858,534056997,0.069214,3,1,2
0,12,867,687984434,0.049618,3,1,2
0,14,858,88655503,0.057869,3,1,2
0,14,871,2123751383,0.049148,3,1,2
0,18,862,912886310,0.062784,3,1,2
0,19,858,912886310,0.068695,50,1,2
0,16,865,670180145,0.061464,50,1,2
0,15,865,635608399,0.046894,50,1,2
0,14,866,729214783,0.067293,50,1,2
0,12,875,909413823,0.051070,50,1,2
7,6,871,909413823,0.054214,2,1,3
9,5,878,2079907344,0.052071,2,1,3
17,3,867,349135356,0.042284,2,1,3
9,5,876,614647258,0.047462,2,1,3
9,3,860,306522122,0.040434,2,1,3
3,4,867,306522122,0.040690,3,1,3
3,6,889,1832335234,0.041909,3,1,3
2,4,890,1858257891,0.039240,3,1,3
0,8,880,834323431,0.051123,3,1,3
3,1,889,699744589,0.037967,3,1,3
0,3,895,699744589,0.042847,50,1,3
0,6,888,1888841631,0.041577,50,1,3
0,6,892,395890204,0.043292,50,1,3
0,5,882,727743150,0.041413,50,1,3
0,7,884,637279721,0.038129,50,1,3
9,0,887,637279721,0.039154,2,1,50
8,0,879,1394340819,0.035111,2,1,50
9,0,880,589323831,0.041199,2,1,50
13,0,882,2010594010,0.037153,2,1,50
10,0,896,1512644921,0.033004,2,1,50
1,0,905,1512644921,0.032432,3,1,50
2,0,895,1651193668,0.037342,3,1,50
6,0,892,183358386,0.031806,3,1,50
6,0,882,1915282174,0.024188,3,1,50
3,0,900,1313345177,0.034125,3,1,50
0,0,909,1313345177,0.035960,50,1,50
0,0,896,981268215,0.029892,50,1,50
0,0,905,649495823,0.029474,50,1,50
0,0,905,1343056484,0.025365,50,1,50
0,0,914,697157135,0.025439,50,1,50
