recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
208,37,133,1191,0.223712,0.5,1,1
223,34,125,127046009,0.242375,0.5,1,1
211,34,134,774866903,0.288940,0.5,1,1
219,44,131,321355609,0.238243,0.5,1,1
211,28,140,1718314999,0.233221,0.5,1,1
228,41,132,1232647540,0.234135,0.5,1,1
217,33,141,2128626293,0.235324,0.5,1,1
228,29,126,447601923,0.311612,0.5,1,1
240,39,123,47678415,0.278580,0.5,1,1
206,32,142,1432539625,0.223251,0.5,1,1
207,31,142,1432539625,0.229469,0.6,1,1
220,43,132,1691069228,0.247968,0.6,1,1
223,39,135,1092128792,0.252808,0.6,1,1
215,28,136,1736487834,0.284008,0.6,1,1
211,31,140,1629932741,0.249690,0.6,1,1
233,32,128,773842690,0.281727,0.6,1,1
227,31,133,1652292249,0.242302,0.6,1,1
208,37,139,1303264614,0.230089,0.6,1,1
219,33,131,1582142173,0.252862,0.6,1,1
221,46,128,601633896,0.297609,0.6,1,1
176,54,149,601633896,0.268746,0.9,1,1
158,52,154,493740343,0.192581,0.9,1,1
179,43,152,2066705179,0.254423,0.9,1,1
167,32,168,41228338,0.194837,0.9,1,1
171,52,158,620809265,0.218707,0.9,1,1
168,36,158,291173679,0.206706,0.9,1,1
187,33,149,333004448,0.220486,0.9,1,1
181,31,150,1956448454,0.219403,0.9,1,1
172,42,151,742902637,0.253625,0.9,1,1
169,46,154,840606694,0.227457,0.9,1,1
31,83,229,840606694,0.112431,1,1,1
38,72,213,414874221,0.092342,1,1,1
39,72,225,1260786086,0.084931,1,1,1
30,87,228,1491891850,0.113834,1,1,1
46,74,218,1647532061,0.113954,1,1,1
32,77,239,75962680,0.099138,1,1,1
28,83,226,2064813874,0.104242,1,1,1
38,78,218,269543732,0.105385,1,1,1
42,75,237,2027024187,0.112913,1,1,1
29,79,232,1653767576,0.096009,1,1,1
29,83,228,1653767576,0.103560,1.1,1,1
43,82,231,1889175035,0.100410,1.1,1,1
31,85,220,1051368454,0.093262,1.1,1,1
