recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
327,748,7056,3029,24.630118,1.9,1,1.3
355,717,7079,1853427577,27.450954,1.9,1,1.3
322,704,7096,554560355,24.148946,1.9,1,1.3
377,665,7070,1512644571,26.793446,1.9,1,1.3
340,729,7090,117582546,28.505543,1.9,1,1.3
191,746,7284,117582546,22.406759,2,1,1.3
170,727,7338,1208602306,21.625251,2,1,1.3
180,724,7310,979775284,23.804935,2,1,1.3
173,734,7291,895351910,23.237192,2,1,1.3
193,744,7290,388582085,24.586415,2,1,1.3
37,867,7421,388582085,17.039591,3,1,1.3
31,889,7414,2068793677,16.664404,3,1,1.3
39,917,7354,979043288,18.692816,3,1,1.3
40,862,7441,1184329115,17.651491,3,1,1.3
30,867,7439,1966323458,16.590080,3,1,1.3
0,889,7509,1966323458,11.525540,50,1,1.3
0,959,7447,1341188142,11.502386,50,1,1.3
0,929,7478,1140386387,11.577314,50,1,1.3
0,965,7421,357287135,11.729463,50,1,1.3
0,887,7515,571626612,11.007582,50,1,1.3
411,584,7154,571626612,28.143647,1.9,1,1.5
401,651,7100,1070628132,31.103126,1.9,1,1.5
389,627,7147,55469012,29.418232,1.9,1,1.5
393,622,7138,1495712793,29.138837,1.9,1,1.5
385,622,7130,1759447302,28.161914,1.9,1,1.5
184,693,7365,1759447302,22.917029,2,1,1.5
192,688,7365,766458624,22.116899,2,1,1.5
181,709,7348,1082817359,21.995999,2,1,1.5
202,681,7387,1400546090,22.541206,2,1,1.5
167,703,7393,1665914006,21.630455,2,1,1.5
38,830,7474,1665914006,16.215778,3,1,1.5
47,852,7443,2081097673,17.688035,3,1,1.5
43,802,7507,1475802236,15.664668,3,1,1.5
50,818,7446,1033038100,15.731739,3,1,1.5
46,862,7464,160834135,18.418890,3,1,1.5
0,911,7531,160834135,11.542462,50,1,1.5
0,834,7590,1652319589,10.677916,50,1,1.5
0,912,7503,13309041,11.585841,50,1,1.5
0,883,7505,480348733,11.094581,50,1,1.5
0,871,7561,1795150897,11.875765,50,1,1.5
784,279,7187,1795150897,35.797673,1.9,1,2
824,251,7146,847148154,36.834334,1.9,1,2
743,289,7167,1701848160,34.581609,1.9,1,2
799,252,7177,1937262955,37.658072,1.9,1,2
760,267,7204,576915157,35.409549,1.9,1,2
222,519,7565,576915157,20.852058,2,1,2
220,547,7584,1650573703,22.526248,2,1,2
231,535,7537,327520405,20.960979,2,1,2
257,520,7512,2121223212,21.856225,2,1,2
247,522,7577,1065754714,22.670374,2,1,2
78,613,7777,1065754714,15.782766,3,1,2
73,646,7697,1256628703,15.385776,3,1,2
92,626,7690,1625897452,15.715522,3,1,2
92,639,7665,731379508,16.534761,3,1,2
73,615,7743,140152700,16.364087,3,1,2
0,677,7870,140152700,10.156673,50,1,2
0,710,7808,1464967271,9.612889,50,1,2
0,709,7847,1836755557,9.698415,50,1,2
0,684,7856,1215259824,9.378268,50,1,2
0,688,7864,312801012,10.032212,50,1,2
963,105,7279,312801012,38.260100,1.9,1,3
995,105,7289,256706851,42.512778,1.9,1,3
975,113,7240,1846701731,39.290973,1.9,1,3
1006,99,7242,310157440,42.230479,1.9,1,3
1032,125,7229,828814253,43.243407,1.9,1,3
474,213,7786,828814253,24.619285,2,1,3
491,211,7801,289679636,25.753201,2,1,3
466,175,7879,1949995368,24.108028,2,1,3
485,189,7792,787918061,26.791915,2,1,3
503,185,7796,256774092,26.123278,2,1,3
160,396,8044,256774092,16.286931,3,1,3
160,355,8090,2118389647,16.411444,3,1,3
178,357,8051,1246386967,16.882478,3,1,3
143,365,8130,1983013776,16.123056,3,1,3
170,358,8059,721214016,17.378452,3,1,3
0,480,8324,721214016,8.963790,50,1,3
0,473,8320,474313390,8.740878,50,1,3
0,432,8388,1073545086,8.738750,50,1,3
0,482,8295,817418970,8.840676,50,1,3
0,487,8342,88498536,8.963303,50,1,3
1143,23,7326,88498536,48.967246,1.9,1,50
1158,26,7316,1077702759,49.833991,1.9,1,50
1137,30,7342,349983436,49.824712,1.9,1,50
1140,23,7325,374318912,49.225381,1.9,1,50
1126,54,7360,45108049,54.344228,1.9,1,50
666,29,8098,45108049,33.320997,2,1,50
636,17,8110,1108214996,32.752044,2,1,50
689,8,8006,1755404451,35.524526,2,1,50
663,24,8089,761875628,34.521877,2,1,50
657,22,8079,1486508568,34.994707,2,1,50
419,12,8589,1486508568,22.460063,3,1,50
384,4,8707,1796121002,20.510993,3,1,50
395,7,8653,1750653887,22.948024,3,1,50
406,10,8660,1570150165,22.736507,3,1,50
426,22,8645,701624937,22.837173,3,1,50
0,0,10570,701624937,7.332659,50,1,50
0,0,10339,295504760,7.207709,50,1,50
0,0,10363,840325304,7.810004,50,1,50
0,0,10493,1851914581,7.631116,50,1,50
0,0,10439,1003232666,7.716901,50,1,50
302,861,7217,987,24.869599,2,1,1.5
285,833,7211,423690253,24.562052,2,1,1.5
290,879,7184,1322451671,27.081455,2,1,1.5
305,840,7194,592151833,27.721571,2,1,1.5
286,850,7202,940838777,27.083511,2,1,1.5
78,965,7323,940838777,19.847690,3,1,1.5
75,962,7348,423245394,20.854850,3,1,1.5
76,942,7402,1627912708,19.677911,3,1,1.5
72,959,7367,1981945642,18.992706,3,1,1.5
72,988,7337,794473461,20.575734,3,1,1.5
0,1058,7388,794473461,13.033032,50,1,1.5
0,1084,7383,1800784479,14.030851,50,1,1.5
0,1025,7451,1767568171,13.566698,50,1,1.5
0,1087,7386,350740034,13.932477,50,1,1.5
0,993,7447,629894913,12.757530,50,1,1.5
519,409,7523,629894913,26.593159,2,1,2
472,429,7583,389848909,25.711544,2,1,2
497,444,7518,936298073,27.168380,2,1,2
491,459,7533,1630975417,27.534738,2,1,2
499,441,7517,597774334,26.571146,2,1,2
142,594,7713,597774334,16.393800,3,1,2
120,646,7649,193434561,17.273058,3,1,2
136,654,7674,1684442605,19.908843,3,1,2
155,617,7653,597710711,19.409578,3,1,2
117,594,7734,1771303558,18.421654,3,1,2
0,718,7773,1771303558,10.747052,50,1,2
0,761,7773,385873728,11.076973,50,1,2
0,683,7866,675419542,11.227313,50,1,2
0,672,7884,1926249054,10.963817,50,1,2
0,705,7802,1353376748,12.000185,50,1,2
677,231,7869,1353376748,31.154722,2,1,3
690,230,7828,270127036,30.329266,2,1,3
645,207,7876,994187840,31.930245,2,1,3
735,220,7798,1202273403,36.361454,2,1,3
659,245,7883,1986499472,33.274428,2,1,3
325,307,8034,1986499472,21.388585,3,1,3
274,313,8140,566547343,19.677087,3,1,3
284,326,8056,1596673642,21.037574,3,1,3
291,318,8083,1410627126,20.924869,3,1,3
289,306,8064,1026622101,20.581976,3,1,3
0,460,8375,1026622101,8.968370,50,1,3
0,431,8433,1638472849,9.637885,50,1,3
