recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
47,11,9,1299,0.018868,0.5,1,1
55,13,7,252873407,0.015380,0.5,1,1
53,5,3,1308310698,0.016967,0.5,1,1
55,4,7,1451084320,0.015566,0.5,1,1
49,10,13,666119322,0.013074,0.5,1,1
50,10,7,1128877687,0.017169,0.5,1,1
48,12,8,52040126,0.012238,0.5,1,1
52,4,10,1040674808,0.013427,0.5,1,1
50,15,4,1235658732,0.014301,0.5,1,1
52,15,4,1991944102,0.018812,0.5,1,1
53,7,5,1991944102,0.019560,0.6,1,1
46,13,6,1720204347,0.012587,0.6,1,1
50,6,8,437025608,0.014631,0.6,1,1
51,4,9,380437238,0.014921,0.6,1,1
49,12,6,1769946511,0.012911,0.6,1,1
47,15,8,198570357,0.013288,0.6,1,1
48,13,7,1441567139,0.013870,0.6,1,1
51,13,7,216445313,0.014759,0.6,1,1
54,9,6,1474733999,0.016879,0.6,1,1
51,5,7,1081195835,0.015915,0.6,1,1
46,6,8,1081195835,0.020501,0.9,1,1
49,21,5,420523103,0.015440,0.9,1,1
51,20,5,123613983,0.017357,0.9,1,1
52,8,8,838794757,0.015690,0.9,1,1
45,14,7,813151483,0.012896,0.9,1,1
42,15,7,1159361524,0.011912,0.9,1,1
51,6,3,953221430,0.014141,0.9,1,1
50,6,7,2064270168,0.014728,0.9,1,1
49,12,7,691955358,0.013848,0.9,1,1
43,12,9,98865976,0.013494,0.9,1,1
17,27,19,98865976,0.011629,1,1,1
17,27,21,1068776206,0.008567,1,1,1
22,29,14,1934840363,0.012107,1,1,1
17,24,20,176258439,0.008374,1,1,1
21,23,15,490607749,0.010449,1,1,1
19,26,21,1043263523,0.008305,1,1,1
17,43,11,853574794,0.011122,1,1,1
19,23,16,1026350414,0.014082,1,1,1
18,25,18,1406812287,0.013716,1,1,1
19,22,28,268569873,0.009760,1,1,1
19,24,25,268569873,0.009940,1.1,1,1
19,18,19,297477917,0.012823,1.1,1,1
22,24,16,1987368368,0.011784,1.1,1,1
19,25,17,1182860684,0.011858,1.1,1,1
20,19,19,634090916,0.007763,1.1,1,1
15,19,26,567948118,0.008893,1.1,1,1
22,22,25,1028427899,0.011678,1.1,1,1
17,23,24,1424718532,0.009715,1.1,1,1
20,23,16,1228154838,0.009631,1.1,1,1
20,24,25,626905459,0.009197,1.1,1,1
14,23,26,626905459,0.009004,1.5,1,1
12,30,15,1011532957,0.009774,1.5,1,1
9,29,21,1118673629,0.005769,1.5,1,1
15,24,15,933058567,0.006513,1.5,1,1
17,27,23,1824905009,0.011398,1.5,1,1
17,22,23,1784957107,0.010535,1.5,1,1
11,28,27,1764231132,0.008261,1.5,1,1
14,29,12,1620208355,0.007279,1.5,1,1
8,42,17,1186457753,0.006357,1.5,1,1
12,29,23,276916834,0.007240,1.5,1,1
12,33,19,276916834,0.009077,1.9,1,1
11,28,20,396127471,0.007906,1.9,1,1
14,29,24,1501464160,0.008526,1.9,1,1
18,30,16,1450139429,0.010339,1.9,1,1
14,27,18,2051342865,0.008692,1.9,1,1
17,26,16,810462144,0.008229,1.9,1,1
14,28,21,1933557588,0.010110,1.9,1,1
21,22,20,463810289,0.014468,1.9,1,1
13,24,17,423560091,0.007978,1.9,1,1
12,27,21,1167648115,0.007859,1.9,1,1
4,37,26,1167648115,0.009455,2,1,1
