recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
343,410,1413,1345,10.587581,1.9,1,1.3
350,390,1412,599673221,11.447075,1.9,1,1.3
374,372,1407,367471666,12.666384,1.9,1,1.3
380,369,1412,396349227,13.131638,1.9,1,1.3
352,418,1388,1791304493,12.087074,1.9,1,1.3
223,436,1572,1791304493,9.481829,2,1,1.3
223,426,1587,1762099357,9.562465,2,1,1.3
219,406,1595,1401298932,10.267451,2,1,1.3
233,408,1586,673106641,10.779908,2,1,1.3
225,369,1662,929333637,12.005192,2,1,1.3
88,487,1773,929333637,8.547400,3,1,1.3
80,549,1744,1737556696,8.188404,3,1,1.3
80,525,1726,1993923867,7.128961,3,1,1.3
81,535,1724,1242205523,6.975263,3,1,1.3
79,521,1729,1663375866,7.397838,3,1,1.3
0,616,1902,1663375866,4.147804,50,1,1.3
0,664,1826,124519210,3.905795,50,1,1.3
0,610,1882,1172013166,4.208167,50,1,1.3
0,684,1795,1844298783,4.220817,50,1,1.3
0,657,1851,383785442,4.029162,50,1,1.3
380,378,1404,383785442,12.080812,1.9,1,1.5
363,362,1428,188153426,11.659226,1.9,1,1.5
398,310,1472,1067817563,13.957411,1.9,1,1.5
402,321,1444,1066384295,13.769794,1.9,1,1.5
372,325,1470,653761665,13.152423,1.9,1,1.5
231,329,1707,653761665,10.844308,2,1,1.5
233,381,1617,2120519459,10.587090,2,1,1.5
252,367,1615,2095816737,11.181993,2,1,1.5
245,376,1612,1101296812,10.625030,2,1,1.5
214,391,1643,967610661,10.251313,2,1,1.5
93,508,1714,967610661,7.273263,3,1,1.5
81,544,1740,265726205,7.785361,3,1,1.5
92,503,1745,1576597778,6.676194,3,1,1.5
88,510,1732,1537612668,8.155869,3,1,1.5
88,468,1778,1988275131,7.892907,3,1,1.5
0,587,1949,1988275131,4.208066,50,1,1.5
0,553,1959,603388504,3.821606,50,1,1.5
0,587,1917,1774131585,3.811859,50,1,1.5
0,608,1924,1708915994,3.767142,50,1,1.5
0,637,1887,119683876,3.794704,50,1,1.5
606,120,1468,119683876,13.629360,1.9,1,2
610,118,1486,1322947212,15.718360,1.9,1,2
619,100,1500,1001413382,17.487700,1.9,1,2
569,121,1488,331618158,14.141754,1.9,1,2
619,126,1447,922456945,17.328587,1.9,1,2
270,282,1728,922456945,10.583455,2,1,2
240,250,1806,1398326710,9.950926,2,1,2
279,237,1782,2064748730,10.898427,2,1,2
244,250,1809,1909260487,10.888559,2,1,2
246,257,1792,1067526583,10.719562,2,1,2
137,324,1929,1067526583,8.013074,3,1,2
128,300,1972,524627998,7.556286,3,1,2
137,316,1948,1184636218,8.409911,3,1,2
127,344,1929,843898346,7.737291,3,1,2
131,325,1919,813843038,8.760371,3,1,2
0,457,2144,813843038,4.011078,50,1,2
0,460,2127,77058907,3.885255,50,1,2
0,480,2145,126673739,4.339444,50,1,2
0,498,2130,480761192,4.476353,50,1,2
0,441,2189,143517556,3.987108,50,1,2
647,46,1562,143517556,16.707396,1.9,1,3
653,51,1553,567137608,17.492547,1.9,1,3
709,51,1491,156718576,19.876820,1.9,1,3
623,40,1611,1213688709,16.262936,1.9,1,3
653,40,1555,710717698,17.793994,1.9,1,3
382,70,1921,710717698,12.551814,2,1,3
366,57,1941,586597903,11.865417,2,1,3
364,79,1937,170295532,12.510109,2,1,3
373,66,1931,411020055,13.021771,2,1,3
380,73,1916,950954665,13.331060,2,1,3
167,191,2108,950954665,8.560912,3,1,3
189,153,2107,385179487,8.967896,3,1,3
189,182,2078,22383806,8.950205,3,1,3
188,160,2114,1203942593,8.657710,3,1,3
202,174,2074,22103264,10.005487,3,1,3
0,320,2435,22103264,3.750552,50,1,3
0,270,2491,90890442,3.981839,50,1,3
0,328,2435,701399600,4.077378,50,1,3
0,328,2441,2105455919,3.774115,50,1,3
0,274,2500,1247291533,3.960854,50,1,3
683,12,1618,1247291533,19.572164,1.9,1,50
712,13,1586,1846413987,20.712591,1.9,1,50
744,25,1547,849351698,22.519693,1.9,1,50
694,5,1609,1602872576,21.561084,1.9,1,50
749,14,1548,766458318,25.272687,1.9,1,50
461,16,1998,766458318,19.554018,2,1,50
454,13,1990,568599686,14.669582,2,1,50
430,5,2042,432203075,17.403567,2,1,50
420,5,2040,1118226276,18.112440,2,1,50
442,10,2030,1860430615,19.676750,2,1,50
340,9,2205,1860430615,12.985429,3,1,50
323,4,2294,801096510,14.249403,3,1,50
324,3,2230,1699653211,13.433355,3,1,50
323,0,2228,1886387504,13.806766,3,1,50
328,8,2264,1955716979,14.766084,3,1,50
0,0,3704,1955716979,5.523372,50,1,50
0,1,3778,1779244861,5.255546,50,1,50
0,0,3789,1491196538,5.449349,50,1,50
0,1,3782,2108305070,5.439588,50,1,50
0,0,3779,713323855,5.595077,50,1,50
252,675,1490,1871,9.897977,2,1,1.5
256,629,1532,1130281400,9.494300,2,1,1.5
265,623,1512,35382424,10.242773,2,1,1.5
249,630,1548,940933393,10.453263,2,1,1.5
233,633,1556,477224535,9.853161,2,1,1.5
112,704,1611,477224535,8.137353,3,1,1.5
132,717,1536,768596986,8.445099,3,1,1.5
109,705,1591,371728545,8.648008,3,1,1.5
117,665,1600,325018881,9.409963,3,1,1.5
130,653,1609,767287452,9.759043,3,1,1.5
0,781,1723,767287452,4.263484,50,1,1.5
0,797,1728,1165276931,4.866576,50,1,1.5
0,767,1758,724000998,4.519619,50,1,1.5
0,789,1716,26026598,4.446897,50,1,1.5
0,799,1710,286795955,4.851958,50,1,1.5
339,304,1873,286795955,11.175163,2,1,2
340,300,1866,998728565,10.305512,2,1,2
343,334,1862,1473415753,11.901965,2,1,2
349,286,1854,1380388142,11.710626,2,1,2
346,323,1839,1867008361,11.763067,2,1,2
146,387,1935,1867008361,7.852696,3,1,2
158,389,1926,113370689,8.223078,3,1,2
161,363,1946,987203163,8.528913,3,1,2
155,360,1950,348496093,7.918034,3,1,2
