recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,1845376989.000000,0.036872,-1,-1,1,2,50,1000,2147483647
0,0,0,2514886915.000000,0.036957,-1,-1,1,2,50,1000,2147483647
0,0,0,3360687885.000000,0.035760,-1,-1,1,2,50,1000,2147483647
0,0,0,2153558640.000000,0.035250,-1,-1,1,2,50,1000,2147483647
0,0,0,2716307859.000000,0.036090,-1,-1,1,2,50,1000,2147483647
0,0,0,1968078904.000000,0.037118,-1,-1,1,2,50,1000,2147483647
0,0,0,2192737061.000000,0.035447,-1,-1,1,2,50,1000,2147483647
0,0,0,3541614435.000000,0.035979,-1,-1,1,2,50,1000,2147483647
0,0,0,2254993051.000000,0.035700,-1,-1,1,2,50,1000,2147483647
0,0,0,3369983200.000000,0.035059,-1,-1,1,2,50,1000,2147483647
0,0,0,2119877122.000000,0.034928,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3343131138.000000,0.036805,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3614210488.000000,0.035214,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3442779833.000000,0.036105,1.5,1.51,1,2,50,1000,2147483647
0,0,0,1868844730.000000,0.035915,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2428936010.000000,0.038179,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3438589547.000000,0.036672,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2059926037.000000,0.037492,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2531815785.000000,0.036691,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2605944177.000000,0.036292,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3318275367.000000,0.036870,1.2,1.21,1,2,50,1000,2147483647
0,0,0,1832781644.000000,0.035928,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3129431927.000000,0.036180,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2977161622.000000,0.035572,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2005168672.000000,0.036054,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3177268781.000000,0.035341,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2070418859.000000,0.035829,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2611854284.000000,0.039011,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3097999566.000000,0.036171,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2170559958.000000,0.035879,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2276125801.000000,0.036311,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3576874566.000000,0.036242,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2894808792.000000,0.038186,1.1,1.11,1,2,50,1000,2147483647
0,0,0,1836968226.000000,0.034954,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3215400962.000000,0.035308,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3012327152.000000,0.036625,1.1,1.11,1,2,50,1000,2147483647
0,0,0,1947225643.000000,0.035924,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3342476620.000000,0.035746,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2925181043.000000,0.037026,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3295529974.000000,0.034926,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2623523645.000000,0.034863,1,1.01,1,2,50,1000,2147483647
0,0,0,3051530976.000000,0.035853,1,1.01,1,2,50,1000,2147483647
0,0,0,2106787854.000000,0.036072,1,1.01,1,2,50,1000,2147483647
0,0,0,2149247729.000000,0.038916,1,1.01,1,2,50,1000,2147483647
0,0,0,1838375688.000000,0.037813,1,1.01,1,2,50,1000,2147483647
0,0,0,3064763111.000000,0.036263,1,1.01,1,2,50,1000,2147483647
0,0,0,2732350573.000000,0.036628,1,1.01,1,2,50,1000,2147483647
0,0,0,3651603908.000000,0.035332,1,1.01,1,2,50,1000,2147483647
0,0,0,3055851637.000000,0.035572,1,1.01,1,2,50,1000,2147483647
0,0,0,2030640552.000000,0.036507,1,1.01,1,2,50,1000,2147483647
0,0,0,1996008983.000000,0.036266,0.9,0.91,1,2,50,1000,2147483647
0,0,0,3778165232.000000,0.035115,0.9,0.91,1,2,50,1000,2147483647
0,0,0,3692879331.000000,0.036744,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2585002241.000000,0.034523,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2776605478.000000,0.036305,0.9,0.91,1,2,50,1000,2147483647
0,0,0,1915805992.000000,0.035608,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2215486712.000000,0.035376,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2174484964.000000,0.034734,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2917680571.000000,0.034170,0.9,0.91,1,2,50,1000,2147483647
0,0,0,1893149661.000000,0.034588,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2894732440.000000,0.034826,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3594509722.000000,0.034523,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3097214325.000000,0.035437,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2933160932.000000,0.034444,0.8,0.81,1,2,50,1000,2147483647
0,0,0,1684762833.000000,0.034852,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2915207938.000000,0.034373,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2859856635.000000,0.034901,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2723137801.000000,0.034592,0.8,0.81,1,2,50,1000,2147483647
0,0,0,1795530188.000000,0.034605,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3590792481.000000,0.035298,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3485686823.000000,0.034961,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2759397153.000000,0.034500,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3513002701.000000,0.035641,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2048302648.000000,0.035689,0.7,0.71,1,2,50,1000,2147483647
0,0,0,1787087335.000000,0.035287,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3382224100.000000,0.034815,0.7,0.71,1,2,50,1000,2147483647
0,0,0,1772318572.000000,0.037318,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2652298734.000000,0.034152,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2427956965.000000,0.035617,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3728805423.000000,0.035761,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2833597629.000000,0.037864,0.6,0.61,1,2,50,1000,2147483647
0,0,0,1684178518.000000,0.035504,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3116710130.000000,0.034772,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3560924216.000000,0.033983,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2475473855.000000,0.035617,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2809930016.000000,0.035591,0.6,0.61,1,2,50,1000,2147483647
0,0,0,1938153908.000000,0.036135,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2166968754.000000,0.037556,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3236293219.000000,0.036265,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2342901511.000000,0.034152,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3736814822.000000,0.034479,0.5,0.51,1,2,50,1000,2147483647
0,0,0,1750895907.000000,0.034891,0.5,0.51,1,2,50,1000,2147483647
0,0,0,3056798044.000000,0.034127,0.5,0.51,1,2,50,1000,2147483647
0,0,0,3241574452.000000,0.034510,0.5,0.51,1,2,50,1000,2147483647
0,0,0,3436693665.000000,0.035880,0.5,0.51,1,2,50,1000,2147483647
