recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
25,0,0,2805225493.000000,0.225075,-1,-1,1,2,50,25,2147483647
24,0,0,2461567967.000000,0.151928,-1,-1,1,2,50,24,2147483647
23,0,0,2261994486.000000,0.122216,-1,-1,1,2,50,23,2147483647
25,0,0,2987345610.000000,0.169474,-1,-1,1,2,50,1000,2147483647
25,0,0,1653059472.000000,0.112922,-1,-1,1,2,50,1000,2147483647
23,0,0,3361554529.000000,0.196853,-1,-1,1,2,50,1000,2147483647
25,0,0,3669695388.000000,0.410552,-1,-1,1,2,50,1000,2147483647
28,0,0,3597003797.000000,0.590285,-1,-1,1,2,50,1000,2147483647
23,0,0,3663388727.000000,0.150789,-1,-1,1,2,50,1000,2147483647
26,0,0,2480237386.000000,0.251183,-1,-1,1,2,50,1000,2147483647
-1,-1,-1,3145758103.000000,0.941397,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2751209698.000000,0.686538,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2561326617.000000,0.755155,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2760126765.000000,0.595097,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2783661677.000000,0.559833,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3747466041.000000,0.752349,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2704413581.000000,0.715358,1.5,1.51,1,2,50,1000,2147483647
19,3,3,1807680437.000000,0.476812,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2772077734.000000,0.746915,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,3496308912.000000,0.701172,1.5,1.51,1,2,50,1000,2147483647
-1,-1,-1,2447975542.000000,0.769645,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2861384056.000000,0.945720,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2997967920.000000,1.099738,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2394943679.000000,1.379125,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,3686388326.000000,0.730067,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,3064109430.000000,0.819271,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,1903793405.000000,1.070136,1.2,1.21,1,2,50,1000,2147483647
14,7,6,3518652193.000000,0.562745,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,3689325066.000000,0.744983,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,1962174469.000000,0.722496,1.2,1.21,1,2,50,1000,2147483647
-1,-1,-1,2228868948.000000,0.977259,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2228171980.000000,0.718553,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,1811691669.000000,1.005659,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2376229917.000000,1.099596,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3526756625.000000,1.069223,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2628594903.000000,1.140483,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3703085644.000000,0.789548,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,2987076069.000000,1.482092,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3473633399.000000,1.501468,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,1963058945.000000,1.315042,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3025219280.000000,1.662876,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,1814912310.000000,1.538639,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2358261009.000000,1.714532,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2052801645.000000,4.078083,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2632059890.000000,1.151754,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3792679978.000000,1.202981,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2098797597.000000,1.640991,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2544066492.000000,0.733735,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2873501087.000000,1.137593,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2903882141.000000,1.561616,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3704378263.000000,2.284216,0.9,0.91,1,2,50,1000,2147483647
12,15,11,2714444610.000000,1.168933,0.9,0.91,1,2,50,1000,2147483647
11,22,21,2221881686.000000,1.384864,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,3589917642.000000,1.613260,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2113174877.000000,1.613923,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2505864980.000000,2.399039,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2487663874.000000,1.628381,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2113050418.000000,1.407725,0.9,0.91,1,2,50,1000,2147483647
10,29,18,2380400900.000000,1.685867,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2734883340.000000,3.243817,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,3736174190.000000,2.541671,0.8,0.81,1,2,50,1000,2147483647
10,24,21,3014367564.000000,1.450591,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,1784983505.000000,1.884994,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,1824815616.000000,3.873241,0.8,0.81,1,2,50,1000,2147483647
9,16,22,3409054234.000000,1.185679,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3538278986.000000,4.335465,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3372627206.000000,4.848903,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,2791483922.000000,2.406206,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3175117468.000000,2.272192,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3376357304.000000,3.530207,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3697343325.000000,7.095046,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,2962972738.000000,10.602164,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,2765195666.000000,6.543913,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,2680295111.000000,11.089184,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,3555119779.000000,7.809069,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,1824783512.000000,5.391516,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,2715303060.000000,7.963182,0.7,0.71,1,2,50,1000,2147483647
5,15,11,2678954495.000000,0.813780,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,3000126952.000000,7.899403,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,3377747529.000000,2.364055,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,3712571990.000000,3.357292,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,2199898142.000000,5.989220,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,2093465880.000000,11.983788,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,1681308635.000000,7.546435,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,2614715521.000000,8.943441,0.6,0.61,1,2,50,1000,2147483647
4,20,28,3718979520.000000,1.157148,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,2826909102.000000,5.977037,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,2544912271.000000,9.355302,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,2029193333.000000,7.618678,0.6,0.61,1,2,50,1000,2147483647
-1,-1,-1,3781953726.000000,5.313462,0.6,0.61,1,2,50,1000,2147483647
3,79,40,2998926081.000000,3.813326,0.5,0.51,1,2,50,1000,2147483647
-1,-1,-1,2137556194.000000,4.812045,0.5,0.51,1,2,50,1000,2147483647
