recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
9,0,9,1392,0.000846,0.9,1,1
10,1,6,2120888363,0.001386,0.9,1,1
9,0,7,1441653656,0.000825,0.9,1,1
12,2,5,1321873887,0.001438,0.9,1,1
14,2,5,1661082545,0.000982,0.9,1,1
13,2,4,1899074997,0.000789,0.9,1,1
11,3,6,1429560251,0.000842,0.9,1,1
13,2,5,133190182,0.000616,0.9,1,1
9,0,8,1185256604,0.000809,0.9,1,1
11,0,7,1658437952,0.000777,0.9,1,1
14,0,6,1238295178,0.000949,0.9,1,1
13,2,6,210417396,0.000838,0.9,1,1
11,1,5,1672358449,0.000938,0.9,1,1
10,2,6,126105125,0.000647,0.9,1,1
12,2,5,1586581099,0.000737,0.9,1,1
0,5,13,1586581099,0.000731,1,1,1
0,1,13,1589409943,0.000476,1,1,1
0,2,13,1303203448,0.000550,1,1,1
0,6,15,1590234510,0.000755,1,1,1
1,3,12,1550406641,0.000605,1,1,1
0,2,13,217531151,0.000910,1,1,1
0,3,14,1278119193,0.000904,1,1,1
0,5,11,1925473169,0.001138,1,1,1
0,1,13,1828560351,0.000616,1,1,1
0,1,14,2085487222,0.000563,1,1,1
0,1,13,98990266,0.000661,1,1,1
0,5,12,1026726943,0.000843,1,1,1
0,4,11,1068824958,0.000614,1,1,1
0,7,11,954026597,0.000804,1,1,1
0,3,13,1472623742,0.000568,1,1,1
1,6,13,1472623742,0.000648,1.1,1,1
0,3,12,1245118151,0.000461,1.1,1,1
0,1,13,1656903176,0.000486,1.1,1,1
0,4,12,644761208,0.000530,1.1,1,1
0,4,12,1380810411,0.000633,1.1,1,1
0,1,13,468326042,0.000482,1.1,1,1
0,1,13,286464836,0.000460,1.1,1,1
0,6,10,892547180,0.000619,1.1,1,1
1,7,10,1542563011,0.000765,1.1,1,1
0,2,14,110474458,0.000508,1.1,1,1
0,1,13,359092981,0.000487,1.1,1,1
0,1,14,1183233569,0.000576,1.1,1,1
0,3,12,1155604192,0.000453,1.1,1,1
0,8,11,762355473,0.000668,1.1,1,1
0,2,13,2093965992,0.000696,1.1,1,1
8,2,6,2093965992,0.001251,0.9,1,1.3
8,0,8,1968118807,0.000944,0.9,1,1.3
17,1,4,711018106,0.000855,0.9,1,1.3
6,2,7,418850963,0.000977,0.9,1,1.3
9,2,5,2006427830,0.000922,0.9,1,1.3
14,3,3,2071643616,0.001272,0.9,1,1.3
11,1,7,439430769,0.000876,0.9,1,1.3
6,1,7,259391494,0.000629,0.9,1,1.3
11,2,6,1927627133,0.000949,0.9,1,1.3
8,1,7,1181323519,0.000562,0.9,1,1.3
12,3,5,684780932,0.000796,0.9,1,1.3
13,1,5,91028382,0.000741,0.9,1,1.3
6,2,7,1735010782,0.000688,0.9,1,1.3
8,1,8,1565183338,0.001268,0.9,1,1.3
9,2,6,815431840,0.000752,0.9,1,1.3
0,2,13,815431840,0.001319,1,1,1.3
0,2,13,1077843568,0.000999,1,1,1.3
0,1,13,1493950142,0.000761,1,1,1.3
1,2,12,327895421,0.000931,1,1,1.3
2,1,16,1397489480,0.000715,1,1,1.3
0,2,15,1449249040,0.000618,1,1,1.3
1,1,13,186068742,0.000820,1,1,1.3
1,2,15,1350435100,0.000645,1,1,1.3
1,2,12,1060465428,0.001010,1,1,1.3
0,1,14,756116786,0.000679,1,1,1.3
1,1,13,2109947209,0.000483,1,1,1.3
0,0,15,1422468272,0.000569,1,1,1.3
0,1,13,876576697,0.000483,1,1,1.3
1,0,14,1698003908,0.000488,1,1,1.3
2,2,12,1064898849,0.000526,1,1,1.3
2,2,12,1064898849,0.000639,1.1,1,1.3
1,0,14,1969887391,0.000520,1.1,1,1.3
0,1,15,1206479897,0.000458,1.1,1,1.3
1,1,13,582186856,0.000506,1.1,1,1.3
0,1,13,420368902,0.000463,1.1,1,1.3
1,0,14,39821961,0.000479,1.1,1,1.3
0,0,15,359668917,0.000459,1.1,1,1.3
1,0,14,1459971314,0.000498,1.1,1,1.3
1,1,14,610524093,0.000657,1.1,1,1.3
0,0,15,667957028,0.000684,1.1,1,1.3
1,2,12,1846440359,0.000464,1.1,1,1.3
1,2,13,1207568780,0.000538,1.1,1,1.3
2,2,15,864265778,0.000806,1.1,1,1.3
2,0,16,1197038138,0.000566,1.1,1,1.3
2,3,16,1789321506,0.001161,1.1,1,1.3
13,4,4,1789321506,0.001296,0.9,1,1.5
13,2,5,2062846113,0.001220,0.9,1,1.5
16,1,4,445208357,0.001124,0.9,1,1.5
12,1,6,1937996683,0.000616,0.9,1,1.5
13,4,4,1137209441,0.000913,0.9,1,1.5
10,1,5,681897965,0.000702,0.9,1,1.5
9,1,6,2096271727,0.000675,0.9,1,1.5
16,0,4,1710280170,0.000705,0.9,1,1.5
11,1,7,531008833,0.000729,0.9,1,1.5
14,3,5,1131276505,0.000813,0.9,1,1.5
12,1,5,1650453394,0.000788,0.9,1,1.5
11,1,6,47172548,0.000736,0.9,1,1.5
10,2,6,1586809366,0.000679,0.9,1,1.5
