recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
484,6,424,1263,0.377948,0.9,1,1.1
489,9,407,1530081424,0.423186,0.9,1,1.1
490,12,410,1766678042,0.431895,0.9,1,1.1
503,6,409,1180082152,0.394451,0.9,1,1.1
515,8,403,655158776,0.422684,0.9,1,1.1
480,8,419,1163221926,0.389737,0.9,1,1.1
499,6,419,1559054588,0.370591,0.9,1,1.1
506,8,413,555179594,0.408067,0.9,1,1.1
501,11,411,1003778888,0.400468,0.9,1,1.1
522,9,409,21135454,0.437374,0.9,1,1.1
16,6,851,21135454,0.059113,1,1,1.1
22,5,842,626284308,0.049064,1,1,1.1
33,5,827,941534573,0.054393,1,1,1.1
29,8,839,565423709,0.074328,1,1,1.1
33,4,834,1086617688,0.063462,1,1,1.1
36,9,839,2005052093,0.063724,1,1,1.1
21,4,846,298420805,0.048624,1,1,1.1
17,3,850,1582700009,0.044442,1,1,1.1
27,6,837,359952749,0.059899,1,1,1.1
27,8,841,237375263,0.064872,1,1,1.1
519,12,401,237375263,0.416693,0.9,1,1.3
500,9,411,400135939,0.372665,0.9,1,1.3
494,5,417,623776356,0.379902,0.9,1,1.3
500,4,414,1486507794,0.381378,0.9,1,1.3
495,5,423,1772292226,0.373415,0.9,1,1.3
492,12,416,1253767675,0.410237,0.9,1,1.3
501,6,420,1426570496,0.401088,0.9,1,1.3
520,16,409,1794396633,0.434585,0.9,1,1.3
496,9,415,84035012,0.402712,0.9,1,1.3
499,9,408,126937971,0.403645,0.9,1,1.3
21,8,837,126937971,0.063246,1,1,1.3
23,4,854,1876231599,0.063097,1,1,1.3
24,3,846,129215571,0.054372,1,1,1.3
25,3,844,217219114,0.050471,1,1,1.3
33,8,828,293302790,0.076291,1,1,1.3
23,7,843,1623371241,0.075883,1,1,1.3
17,4,849,1508746940,0.042876,1,1,1.3
27,8,837,1094789307,0.073441,1,1,1.3
37,5,840,753885950,0.069184,1,1,1.3
30,7,838,884737681,0.069802,1,1,1.3
519,12,404,884737681,0.415340,0.9,1,1.5
492,6,420,1266440113,0.368998,0.9,1,1.5
523,6,406,1840996324,0.415441,0.9,1,1.5
498,7,424,1881598428,0.377948,0.9,1,1.5
502,10,409,1231026124,0.433404,0.9,1,1.5
512,10,410,1546776479,0.526672,0.9,1,1.5
510,7,418,592507809,0.442248,0.9,1,1.5
522,11,406,508078031,0.440773,0.9,1,1.5
484,10,419,1308398996,0.391997,0.9,1,1.5
516,10,407,1603934104,0.418436,0.9,1,1.5
24,7,844,1603934104,0.061988,1,1,1.5
23,3,840,27769391,0.048180,1,1,1.5
26,16,842,1656717516,0.082134,1,1,1.5
19,5,839,1370110992,0.051106,1,1,1.5
27,2,838,1153608179,0.054431,1,1,1.5
24,7,840,71768305,0.055174,1,1,1.5
26,6,835,895671248,0.059005,1,1,1.5
27,4,843,1344179988,0.059506,1,1,1.5
27,5,828,1068243545,0.065567,1,1,1.5
22,11,837,1190715350,0.079625,1,1,1.5
534,0,411,1190715350,0.413971,0.9,1,2
507,0,411,470800316,0.348214,0.9,1,2
554,5,401,1530749055,0.449252,0.9,1,2
501,2,419,545302551,0.394587,0.9,1,2
500,0,418,1304672647,0.356245,0.9,1,2
525,2,409,1763576090,0.416627,0.9,1,2
516,0,413,1425123286,0.405258,0.9,1,2
518,4,417,1733746022,0.392172,0.9,1,2
537,1,404,1571310788,0.409219,0.9,1,2
484,3,425,280428442,0.415094,0.9,1,2
