recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
55,6,26,1938,0.017368,0.5,1,1
54,9,34,399274725,0.020099,0.5,1,1
49,14,30,1207777400,0.016304,0.5,1,1
58,8,28,1003911810,0.020558,0.5,1,1
46,4,34,1100077475,0.015084,0.5,1,1
47,4,33,1649339412,0.014306,0.5,1,1
61,15,25,252817777,0.027661,0.5,1,1
44,7,31,508438747,0.013553,0.5,1,1
57,16,24,1164979924,0.022398,0.5,1,1
53,10,26,1964614176,0.017800,0.5,1,1
58,3,34,880530263,0.021408,0.5,1,1
57,13,29,875072614,0.019614,0.5,1,1
55,6,32,1293800133,0.018151,0.5,1,1
44,7,30,1346279461,0.014848,0.5,1,1
42,9,28,1324786703,0.013868,0.5,1,1
44,7,32,432392659,0.017394,0.5,1,1
51,6,36,2117424340,0.017590,0.5,1,1
60,4,28,1634176020,0.019893,0.5,1,1
59,16,21,1754630611,0.017934,0.5,1,1
48,6,29,517494242,0.015611,0.5,1,1
60,14,26,1220439378,0.018092,0.5,1,1
62,13,26,1920115954,0.024167,0.5,1,1
48,13,29,1526277599,0.017364,0.5,1,1
48,6,29,419095830,0.016735,0.5,1,1
42,13,32,43480725,0.015590,0.5,1,1
55,5,31,767133534,0.019787,0.5,1,1
57,10,28,779808546,0.019909,0.5,1,1
46,9,30,212686212,0.014859,0.5,1,1
49,8,28,1224534873,0.015509,0.5,1,1
58,13,26,1945832763,0.018317,0.5,1,1
54,11,32,713551486,0.021613,0.5,1,1
54,10,29,948476381,0.019644,0.5,1,1
62,4,27,579327584,0.019420,0.5,1,1
44,12,26,1194211366,0.012906,0.5,1,1
48,9,27,741234923,0.015970,0.5,1,1
56,8,25,1129506030,0.016707,0.5,1,1
42,9,29,702524453,0.014870,0.5,1,1
54,6,33,1095003438,0.018923,0.5,1,1
53,11,26,1218985246,0.018102,0.5,1,1
54,10,28,887280349,0.017721,0.5,1,1
52,12,26,1641619794,0.017127,0.5,1,1
60,7,28,1729088656,0.021672,0.5,1,1
48,9,25,348496356,0.018364,0.5,1,1
55,6,28,1937157523,0.016553,0.5,1,1
50,12,28,935767526,0.016618,0.5,1,1
47,15,32,1656925950,0.015654,0.5,1,1
53,10,28,2021999466,0.015347,0.5,1,1
48,11,31,1044897697,0.017837,0.5,1,1
52,10,29,1172212779,0.018788,0.5,1,1
58,7,28,360604100,0.019220,0.5,1,1
57,7,29,360604100,0.019117,0.6,1,1
46,10,29,1693250242,0.014193,0.6,1,1
67,10,29,1854388101,0.023564,0.6,1,1
54,8,32,1201351349,0.018715,0.6,1,1
48,7,31,214964507,0.017113,0.6,1,1
49,13,29,824578765,0.018106,0.6,1,1
54,10,28,1575386880,0.018326,0.6,1,1
48,9,31,1003734598,0.016678,0.6,1,1
49,3,34,343139,0.017073,0.6,1,1
57,10,26,103861780,0.018906,0.6,1,1
46,15,27,1115386330,0.016412,0.6,1,1
60,12,25,327555701,0.019156,0.6,1,1
58,7,30,572421691,0.020436,0.6,1,1
49,11,28,1460745430,0.016963,0.6,1,1
56,11,25,1243147031,0.019180,0.6,1,1
43,11,31,2050716712,0.013878,0.6,1,1
52,16,29,414560941,0.019842,0.6,1,1
49,12,25,1707480421,0.017636,0.6,1,1
51,11,27,1571155338,0.015890,0.6,1,1
48,16,29,776587611,0.019378,0.6,1,1
61,14,23,1348391189,0.019954,0.6,1,1
51,11,26,891292636,0.018524,0.6,1,1
41,13,24,35564040,0.012662,0.6,1,1
56,7,31,1537512520,0.022560,0.6,1,1
51,11,26,1522438567,0.016464,0.6,1,1
67,8,21,1541740278,0.020472,0.6,1,1
53,8,30,92380906,0.021316,0.6,1,1
55,12,26,769702040,0.017193,0.6,1,1
47,8,27,177068684,0.016744,0.6,1,1
47,11,27,1432432633,0.016105,0.6,1,1
41,16,31,2109398122,0.014865,0.6,1,1
62,4,26,1329574036,0.017577,0.6,1,1
56,10,31,1153120017,0.019243,0.6,1,1
46,8,30,1327073607,0.016241,0.6,1,1
49,10,30,306848694,0.016472,0.6,1,1
56,8,26,552268677,0.018432,0.6,1,1
61,9,25,2095625932,0.019889,0.6,1,1
47,21,27,925147962,0.017292,0.6,1,1
50,18,28,1863733412,0.017814,0.6,1,1
45,13,27,2079632130,0.014084,0.6,1,1
53,20,28,774285447,0.020541,0.6,1,1
39,9,29,484139440,0.013526,0.6,1,1
57,7,25,1101854139,0.020268,0.6,1,1
63,8,23,1701886429,0.019933,0.6,1,1
55,11,31,909697132,0.019696,0.6,1,1
55,12,28,1636453454,0.019336,0.6,1,1
52,31,30,1127423573,0.016568,0.6,1,1
55,4,33,720775022,0.018524,0.6,1,1
55,3,32,2055247006,0.018022,0.6,1,1
49,8,27,134199402,0.017941,0.6,1,1
39,10,31,134199402,0.014558,0.9,1,1
30,13,38,411135527,0.014649,0.9,1,1
