recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
3526,282,4816,1141,184.923855,0.9,1,1.1
3417,253,4917,1582262454,201.876273,0.9,1,1.1
3331,282,4909,368607396,186.065109,0.9,1,1.1
3463,272,4873,320159971,198.836130,0.9,1,1.1
3416,241,4908,674287945,189.618423,0.9,1,1.1
3349,267,4930,1544097850,184.529959,0.9,1,1.1
3443,286,4898,2007012995,190.832347,0.9,1,1.1
3390,289,4896,649144289,186.869362,0.9,1,1.1
3423,284,4865,1113903207,196.095322,0.9,1,1.1
3485,265,4864,159906130,193.326273,0.9,1,1.1
1098,228,6940,159906130,58.341616,1,1,1.1
1061,244,6919,1530884510,56.271372,1,1,1.1
1040,249,6901,596081426,55.725680,1,1,1.1
1052,240,6915,1931825990,57.124004,1,1,1.1
1025,254,6929,2018745910,58.230116,1,1,1.1
1120,247,6852,2003097504,60.172525,1,1,1.1
1024,250,6931,1673290202,53.385485,1,1,1.1
1054,239,6942,2031382182,56.485797,1,1,1.1
1074,268,6871,1769105150,56.880748,1,1,1.1
1036,221,6925,593510690,53.796595,1,1,1.1
3380,246,4939,593510690,174.095104,0.9,1,1.3
3438,271,4900,2135962335,187.814184,0.9,1,1.3
3496,284,4850,1979728733,192.681437,0.9,1,1.3
3425,282,4890,1876683875,190.818567,0.9,1,1.3
3470,269,4871,599408390,185.636523,0.9,1,1.3
3383,286,4878,777790472,185.416610,0.9,1,1.3
3468,274,4848,862540561,196.196464,0.9,1,1.3
3443,288,4888,342025101,193.389220,0.9,1,1.3
3437,264,4879,1188436792,193.423538,0.9,1,1.3
3468,258,4892,1725917456,193.199919,0.9,1,1.3
1036,256,6918,1725917456,53.781133,1,1,1.3
1045,244,6921,1199030468,53.281018,1,1,1.3
1082,245,6858,517220808,58.790983,1,1,1.3
1053,241,6897,492720445,54.195766,1,1,1.3
1022,235,6933,1379426080,55.183726,1,1,1.3
1110,236,6859,1377333100,57.572204,1,1,1.3
1030,233,6930,296208120,53.618140,1,1,1.3
1062,241,6887,1862251123,54.666346,1,1,1.3
1079,246,6878,1683009456,59.194150,1,1,1.3
1101,267,6867,1823150938,58.170626,1,1,1.3
3474,241,4923,1823150938,184.659142,0.9,1,1.5
3500,214,4895,1757170791,193.671053,0.9,1,1.5
3524,227,4924,875677646,198.242492,0.9,1,1.5
3507,254,4912,1586307536,195.128674,0.9,1,1.5
3373,249,4933,1694044963,189.396720,0.9,1,1.5
3513,243,4889,442461520,193.071640,0.9,1,1.5
3516,227,4914,1801775261,193.391610,0.9,1,1.5
3439,225,4924,1004174379,188.947153,0.9,1,1.5
3419,259,4897,2108945683,192.152275,0.9,1,1.5
3449,250,4905,1357947580,193.884698,0.9,1,1.5
1056,236,6911,1357947580,55.313259,1,1,1.5
1062,240,6878,240098574,53.753176,1,1,1.5
1042,237,6882,2057764041,55.617578,1,1,1.5
1098,236,6904,933071623,60.833179,1,1,1.5
1074,244,6909,1718207049,55.306372,1,1,1.5
1070,243,6944,2102163705,58.615713,1,1,1.5
1126,243,6871,686905420,60.878834,1,1,1.5
1071,226,6897,1949278442,55.552501,1,1,1.5
1065,250,6918,1084845648,59.739373,1,1,1.5
1104,222,6901,877509147,59.525020,1,1,1.5
3933,84,4861,877509147,200.362115,0.9,1,2
3886,71,4876,2080390328,189.224760,0.9,1,2
3919,99,4899,359915987,208.990525,0.9,1,2
3942,80,4850,1752447784,210.071784,0.9,1,2
