recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
30,10,4,1384,0.008426,0.5,1,1
31,8,4,1820638719,0.006733,0.5,1,1
35,8,5,51204217,0.008506,0.5,1,1
35,4,4,1824493775,0.007487,0.5,1,1
27,6,4,957703350,0.007166,0.5,1,1
34,3,3,147575278,0.007241,0.5,1,1
29,13,3,1765525440,0.009157,0.5,1,1
27,11,4,1397421300,0.006354,0.5,1,1
27,10,4,1368009059,0.008767,0.5,1,1
30,14,4,838198358,0.008121,0.5,1,1
29,5,6,594235994,0.008034,0.5,1,1
30,12,3,996354924,0.008614,0.5,1,1
32,9,2,1196381284,0.006887,0.5,1,1
33,5,6,2111908953,0.007954,0.5,1,1
32,4,7,1604280623,0.008766,0.5,1,1
32,4,6,33115717,0.008956,0.5,1,1
26,7,6,490313754,0.005782,0.5,1,1
32,8,3,636562561,0.007795,0.5,1,1
28,8,3,465007345,0.008338,0.5,1,1
29,11,4,703132095,0.006957,0.5,1,1
34,4,6,1081785270,0.009793,0.5,1,1
27,10,2,1978733787,0.006295,0.5,1,1
32,11,4,404986113,0.007493,0.5,1,1
34,3,10,1418891818,0.009529,0.5,1,1
31,8,3,1628666008,0.006292,0.5,1,1
39,5,3,517318949,0.009820,0.5,1,1
35,4,3,1895751729,0.008537,0.5,1,1
27,3,9,660596332,0.007197,0.5,1,1
30,9,3,867453721,0.006514,0.5,1,1
29,14,1,1975405147,0.007802,0.5,1,1
28,8,6,168792699,0.007271,0.5,1,1
32,18,1,1816892565,0.008118,0.5,1,1
34,5,4,1232017660,0.006378,0.5,1,1
39,4,6,1531809570,0.009766,0.5,1,1
29,5,7,1634370757,0.005271,0.5,1,1
29,6,4,974645832,0.007395,0.5,1,1
23,6,5,921342683,0.005677,0.5,1,1
26,7,5,151062319,0.006551,0.5,1,1
32,5,4,405880077,0.009388,0.5,1,1
29,5,5,1896096124,0.006557,0.5,1,1
36,6,3,1652744740,0.008785,0.5,1,1
29,5,4,1771589249,0.007631,0.5,1,1
30,5,5,699414845,0.006963,0.5,1,1
34,3,4,699837681,0.009324,0.5,1,1
28,8,5,1414792947,0.007344,0.5,1,1
33,4,3,294542208,0.008895,0.5,1,1
32,11,3,1653516321,0.007860,0.5,1,1
27,8,4,18411279,0.008345,0.5,1,1
25,11,3,1659016866,0.007038,0.5,1,1
30,6,7,984137414,0.007385,0.5,1,1
30,6,7,984137414,0.006313,0.6,1,1
33,9,3,968553959,0.008782,0.6,1,1
34,6,6,1121756040,0.010657,0.6,1,1
34,8,5,1717401649,0.009054,0.6,1,1
30,9,2,1351352505,0.007847,0.6,1,1
39,7,2,353093334,0.009147,0.6,1,1
34,6,4,1652612921,0.009034,0.6,1,1
30,5,6,1211015230,0.007200,0.6,1,1
28,15,2,820336916,0.007021,0.6,1,1
29,10,3,1137541106,0.008130,0.6,1,1
34,10,3,1817120640,0.008283,0.6,1,1
27,8,4,1305265215,0.007605,0.6,1,1
34,10,7,602649899,0.008554,0.6,1,1
29,7,5,1970512692,0.008673,0.6,1,1
25,11,5,1253249110,0.006526,0.6,1,1
34,4,5,1609244118,0.010355,0.6,1,1
36,7,4,1102009601,0.007764,0.6,1,1
33,12,0,1563573583,0.009467,0.6,1,1
26,8,3,1566148900,0.006957,0.6,1,1
28,7,4,1875316216,0.006451,0.6,1,1
36,6,2,1059767639,0.007724,0.6,1,1
33,1,10,2037822097,0.008295,0.6,1,1
33,5,8,1659548004,0.008931,0.6,1,1
32,11,4,42769349,0.007683,0.6,1,1
31,5,4,1419090636,0.008434,0.6,1,1
30,4,6,679200886,0.008431,0.6,1,1
30,5,6,217200236,0.006985,0.6,1,1
30,7,2,1214579622,0.009275,0.6,1,1
25,6,6,2010444864,0.006077,0.6,1,1
34,5,8,102166954,0.009381,0.6,1,1
29,5,7,485206899,0.007537,0.6,1,1
32,12,6,1161605736,0.009342,0.6,1,1
35,5,3,1920548745,0.007641,0.6,1,1
29,9,4,1042640609,0.006468,0.6,1,1
28,11,2,804807536,0.007250,0.6,1,1
32,4,4,188819447,0.009448,0.6,1,1
