recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
9,1,7,1190,0.5,1,1
10,1,6,557331511,0.5,1,1
13,0,5,1059662128,0.5,1,1
13,0,6,1787254281,0.5,1,1
15,0,5,515993399,0.5,1,1
11,0,6,410903089,0.5,1,1
15,3,3,2039757925,0.5,1,1
7,0,8,1527005271,0.5,1,1
14,1,5,1618009302,0.5,1,1
9,1,6,2059550546,0.5,1,1
9,1,6,2059550546,0.6,1,1
21,3,2,1546103516,0.6,1,1
8,1,6,587164069,0.6,1,1
14,2,4,575000441,0.6,1,1
20,2,3,1018017565,0.6,1,1
14,1,4,742336937,0.6,1,1
13,3,3,1522292456,0.6,1,1
8,1,7,28005471,0.6,1,1
14,1,4,600443328,0.6,1,1
15,1,4,2124554908,0.6,1,1
12,1,6,2124554908,0.9,1,1
10,1,7,1558996060,0.9,1,1
7,2,7,1472157196,0.9,1,1
10,0,7,1112272794,0.9,1,1
9,0,7,1331799045,0.9,1,1
18,0,6,974460031,0.9,1,1
15,1,5,1238589213,0.9,1,1
11,1,6,671007366,0.9,1,1
14,1,6,1635721298,0.9,1,1
14,1,5,1059334818,0.9,1,1
1,6,13,1059334818,1,1,1
1,7,11,549267080,1,1,1
0,7,10,734288146,1,1,1
0,3,12,1465829207,1,1,1
0,3,13,748666483,1,1,1
0,8,10,393640610,1,1,1
0,2,14,912552127,1,1,1
0,3,12,923696810,1,1,1
0,3,13,1293725229,1,1,1
0,6,11,1223064653,1,1,1
0,4,11,1223064653,1.1,1,1
1,11,12,285741794,1.1,1,1
0,2,15,1933023284,1.1,1,1
0,4,12,1736612975,1.1,1,1
0,1,13,346132034,1.1,1,1
0,5,11,1771750101,1.1,1,1
0,4,12,1049588635,1.1,1,1
0,4,13,1549840364,1.1,1,1
0,4,12,1095342226,1.1,1,1
0,2,14,1101666497,1.1,1,1
0,0,15,1101666497,1.5,1,1
0,3,13,561301257,1.5,1,1
0,7,10,1548863691,1.5,1,1
1,7,11,310868033,1.5,1,1
0,1,14,450074323,1.5,1,1
0,0,15,1225190926,1.5,1,1
0,2,14,877220829,1.5,1,1
0,7,10,153443885,1.5,1,1
0,9,11,207408334,1.5,1,1
0,6,12,230535998,1.5,1,1
0,6,12,230535998,1.9,1,1
0,1,14,1381248358,1.9,1,1
0,3,13,573681895,1.9,1,1
0,3,12,131553318,1.9,1,1
0,1,13,49140579,1.9,1,1
0,5,11,1560780875,1.9,1,1
0,3,12,1984571917,1.9,1,1
0,1,13,671215787,1.9,1,1
1,2,14,1325373161,1.9,1,1
0,8,10,1438329569,1.9,1,1
0,6,12,1438329569,2,1,1
0,3,13,795499308,2,1,1
0,10,10,936426653,2,1,1
0,2,13,875037373,2,1,1
0,6,13,154646907,2,1,1
0,6,13,1671926358,2,1,1
0,6,13,1612042349,2,1,1
0,2,12,993673669,2,1,1
0,4,11,1847556941,2,1,1
0,2,13,1312178952,2,1,1
0,2,13,1312178952,3,1,1
0,4,12,2077460929,3,1,1
0,8,11,69333382,3,1,1
0,2,12,1746476280,3,1,1
0,4,12,1908831923,3,1,1
0,9,11,427373968,3,1,1
0,2,13,420107579,3,1,1
0,7,11,1101726464,3,1,1
0,3,13,2062912279,3,1,1
0,4,11,452265084,3,1,1
0,9,9,452265084,50,1,1
0,0,15,954830450,50,1,1
0,6,13,2127926491,50,1,1
0,2,13,1992483970,50,1,1
0,3,12,884138790,50,1,1
0,4,11,1957274592,50,1,1
0,1,13,820603388,50,1,1
0,1,14,1178909514,50,1,1
0,1,13,1196951918,50,1,1
0,4,12,622680137,50,1,1
14,0,5,622680137,0.5,1,1.3
14,0,5,1332503431,0.5,1,1.3
12,0,6,1154352074,0.5,1,1.3
18,0,5,1889665418,0.5,1,1.3
15,0,5,1231990974,0.5,1,1.3
10,0,7,1755845652,0.5,1,1.3
18,0,4,1955119828,0.5,1,1.3
13,0,5,569827223,0.5,1,1.3
12,0,5,1109302498,0.5,1,1.3
15,0,5,815471967,0.5,1,1.3
15,0,5,815471967,0.6,1,1.3
19,0,4,1354072005,0.6,1,1.3
12,0,6,1299797004,0.6,1,1.3
24,2,2,2051118565,0.6,1,1.3
17,0,4,554090265,0.6,1,1.3
17,0,5,400711907,0.6,1,1.3
14,0,6,527286342,0.6,1,1.3
15,0,5,614146261,0.6,1,1.3
20,0,4,972868338,0.6,1,1.3
18,0,6,553852853,0.6,1,1.3
16,2,5,553852853,0.9,1,1.3
12,0,6,222069335,0.9,1,1.3
12,0,7,1138255742,0.9,1,1.3
7,1,7,629747397,0.9,1,1.3
11,1,5,2017887524,0.9,1,1.3
13,1,5,205912620,0.9,1,1.3
14,3,4,1173935084,0.9,1,1.3
15,3,4,1661780289,0.9,1,1.3
7,1,7,909972509,0.9,1,1.3
15,0,5,385292685,0.9,1,1.3
0,0,15,385292685,1,1,1.3
1,3,15,708901971,1,1,1.3
2,1,15,904888836,1,1,1.3
1,2,15,610856164,1,1,1.3
1,2,13,1315136148,1,1,1.3
1,1,13,1042162519,1,1,1.3
2,2,17,1920015698,1,1,1.3
0,1,13,1482173926,1,1,1.3
3,0,15,749525765,1,1,1.3
1,0,14,1316677511,1,1,1.3
1,0,14,1316677511,1.1,1,1.3
0,1,14,1145761664,1.1,1,1.3
0,1,13,1511732501,1.1,1,1.3
2,0,14,161676059,1.1,1,1.3
0,1,14,1209431836,1.1,1,1.3
1,4,13,912368330,1.1,1,1.3
1,0,14,1430043986,1.1,1,1.3
1,2,14,128924645,1.1,1,1.3
1,1,13,293698589,1.1,1,1.3
0,1,13,1254088669,1.1,1,1.3
0,1,13,1254088669,1.5,1,1.3
0,4,13,1609956289,1.5,1,1.3
0,1,15,812540432,1.5,1,1.3
0,1,13,831525396,1.5,1,1.3
0,6,14,1304715627,1.5,1,1.3
0,3,12,29882733,1.5,1,1.3
0,2,16,1278084562,1.5,1,1.3
0,2,14,581574131,1.5,1,1.3
0,1,15,828001918,1.5,1,1.3
0,4,13,138626561,1.5,1,1.3
0,4,13,138626561,1.9,1,1.3
0,2,13,651069276,1.9,1,1.3
0,1,13,1316631680,1.9,1,1.3
0,2,14,114582550,1.9,1,1.3
0,3,13,1401624254,1.9,1,1.3
0,2,15,1352564296,1.9,1,1.3
0,2,13,442134274,1.9,1,1.3
0,1,13,1250949468,1.9,1,1.3
0,1,13,352787619,1.9,1,1.3
0,0,15,2121351488,1.9,1,1.3
0,0,15,2121351488,2,1,1.3
0,2,14,609314667,2,1,1.3
0,0,16,1152387881,2,1,1.3
0,0,15,1558503039,2,1,1.3
0,2,13,678832318,2,1,1.3
0,4,12,581587478,2,1,1.3
0,1,13,1591200159,2,1,1.3
0,2,13,225233568,2,1,1.3
0,5,15,880451596,2,1,1.3
0,4,16,1475423614,2,1,1.3
0,4,16,1475423614,3,1,1.3
0,2,14,574463747,3,1,1.3
0,3,13,1460211068,3,1,1.3
0,2,14,1694744087,3,1,1.3
0,3,15,828719232,3,1,1.3
0,3,15,1601909370,3,1,1.3
0,0,16,2127283156,3,1,1.3
0,2,16,10557483,3,1,1.3
0,4,16,505968250,3,1,1.3
0,1,15,903647261,3,1,1.3
0,1,14,903647261,50,1,1.3
0,1,13,975178949,50,1,1.3
0,0,15,1807296104,50,1,1.3
0,1,14,821706967,50,1,1.3
0,1,14,1056790889,50,1,1.3
0,6,13,507643426,50,1,1.3
