recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
9,20,841,5927,1.5,1,1.1
7,22,844,1703679947,1.5,1,1.1
10,21,829,1043987518,1.5,1,1.1
9,18,839,183082865,1.5,1,1.1
17,19,830,1722083521,1.5,1,1.1
4,18,846,1064111010,1.5,1,1.1
8,15,852,2119269014,1.5,1,1.1
6,25,842,197210173,1.5,1,1.1
5,18,848,1484913007,1.5,1,1.1
10,19,841,685395824,1.5,1,1.1
10,20,846,685395824,1.9,1,1.1
9,24,845,758894905,1.9,1,1.1
7,23,846,1525949044,1.9,1,1.1
10,13,843,2009037735,1.9,1,1.1
5,15,859,477022888,1.9,1,1.1
7,15,850,1538562967,1.9,1,1.1
6,17,842,1710082991,1.9,1,1.1
5,20,850,171696651,1.9,1,1.1
6,27,834,1890585686,1.9,1,1.1
8,13,846,1942554043,1.9,1,1.1
2,16,862,1942554043,2,1,1.1
1,20,853,1706280066,2,1,1.1
1,23,848,601967900,2,1,1.1
1,20,851,513799678,2,1,1.1
2,17,852,415213159,2,1,1.1
0,22,854,1408146334,2,1,1.1
1,19,851,875147318,2,1,1.1
1,18,856,233292476,2,1,1.1
2,24,850,1086284735,2,1,1.1
0,23,856,1698148760,2,1,1.1
0,24,860,1698148760,3,1,1.1
0,19,854,760275221,3,1,1.1
0,20,861,1906334993,3,1,1.1
0,22,861,370267710,3,1,1.1
0,23,850,751670815,3,1,1.1
0,20,848,1461582280,3,1,1.1
0,25,850,1694254529,3,1,1.1
0,25,848,1523092036,3,1,1.1
0,17,853,1421918319,3,1,1.1
0,22,856,1958218636,3,1,1.1
0,21,856,1958218636,50,1,1.1
0,22,852,661600722,50,1,1.1
0,20,855,1612955154,50,1,1.1
0,21,850,1215077298,50,1,1.1
0,26,850,1020505687,50,1,1.1
0,18,856,1196102994,50,1,1.1
0,22,856,1874009150,50,1,1.1
0,24,847,598134749,50,1,1.1
0,21,853,1176267951,50,1,1.1
0,23,850,761127486,50,1,1.1
8,28,838,761127486,1.5,1,1.3
11,19,835,1439677816,1.5,1,1.3
8,15,841,878584493,1.5,1,1.3
7,28,840,1144838826,1.5,1,1.3
12,19,833,501501784,1.5,1,1.3
7,21,841,1090892714,1.5,1,1.3
8,23,842,483046864,1.5,1,1.3
9,19,835,1700105381,1.5,1,1.3
11,18,834,333240462,1.5,1,1.3
8,19,838,2049733065,1.5,1,1.3
9,18,844,2049733065,1.9,1,1.3
10,17,843,700570663,1.9,1,1.3
5,24,839,1100692254,1.9,1,1.3
9,18,847,418728001,1.9,1,1.3
4,17,847,1510205159,1.9,1,1.3
7,22,839,262625789,1.9,1,1.3
7,16,847,261357247,1.9,1,1.3
7,18,844,1119479494,1.9,1,1.3
5,16,846,1577653772,1.9,1,1.3
10,20,839,244905319,1.9,1,1.3
2,21,857,244905319,2,1,1.3
1,19,859,1455233829,2,1,1.3
0,24,858,943836413,2,1,1.3
