recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
78,17,68,1145,0.5,1,1
96,22,54,2125283431,0.5,1,1
85,17,60,1393472774,0.5,1,1
90,22,57,1360513922,0.5,1,1
96,29,58,686071747,0.5,1,1
89,20,61,612202422,0.5,1,1
84,27,66,1878030040,0.5,1,1
79,36,64,143334732,0.5,1,1
87,16,64,371181039,0.5,1,1
85,21,60,419454932,0.5,1,1
84,20,62,419454932,0.6,1,1
72,25,61,980347916,0.6,1,1
80,17,65,1651926873,0.6,1,1
75,18,66,919919883,0.6,1,1
82,18,59,447425687,0.6,1,1
91,20,58,1710784499,0.6,1,1
79,12,70,1549615482,0.6,1,1
83,20,63,1022644501,0.6,1,1
67,18,70,71154231,0.6,1,1
71,24,62,846110236,0.6,1,1
62,23,68,846110236,0.9,1,1
67,19,75,751221697,0.9,1,1
65,11,70,1023082497,0.9,1,1
70,17,75,465190661,0.9,1,1
66,17,73,2004467180,0.9,1,1
85,20,65,303721639,0.9,1,1
73,14,74,270377896,0.9,1,1
77,22,62,898492,0.9,1,1
84,15,67,595643178,0.9,1,1
73,28,67,1425728243,0.9,1,1
21,37,97,1425728243,1,1,1
17,34,94,2133270580,1,1,1
20,28,99,657516997,1,1,1
18,24,103,870569549,1,1,1
19,35,99,1977771964,1,1,1
24,26,101,531225839,1,1,1
17,40,89,1388881307,1,1,1
22,24,98,103122066,1,1,1
18,31,101,1940515584,1,1,1
22,27,99,593687554,1,1,1
22,28,98,593687554,1.1,1,1
26,28,89,365702097,1.1,1,1
15,31,96,323996783,1.1,1,1
15,31,104,1193136092,1.1,1,1
26,39,90,2046542137,1.1,1,1
19,27,97,1146401668,1.1,1,1
16,29,98,1911969419,1.1,1,1
15,22,113,1304526951,1.1,1,1
18,41,87,2079693617,1.1,1,1
14,29,100,456683251,1.1,1,1
9,35,101,456683251,1.5,1,1
10,32,103,1418819072,1.5,1,1
10,44,91,337445043,1.5,1,1
12,34,111,95633268,1.5,1,1
11,43,100,1994071237,1.5,1,1
14,31,104,560638981,1.5,1,1
9,35,103,102969230,1.5,1,1
13,32,101,1728552613,1.5,1,1
10,36,100,1801172537,1.5,1,1
14,36,105,597301466,1.5,1,1
14,35,105,597301466,1.9,1,1
11,34,104,1887074398,1.9,1,1
10,32,105,134718934,1.9,1,1
10,31,107,566675747,1.9,1,1
10,33,101,2065214393,1.9,1,1
13,40,99,1124464698,1.9,1,1
10,31,109,326386220,1.9,1,1
10,50,91,1079709915,1.9,1,1
13,34,97,1275691739,1.9,1,1
9,42,96,768906224,1.9,1,1
3,52,101,768906224,2,1,1
4,48,103,1242950785,2,1,1
3,46,111,2057054342,2,1,1
4,40,108,503329042,2,1,1
2,50,111,1023120045,2,1,1
3,50,103,429249836,2,1,1
4,32,119,1823260393,2,1,1
4,35,121,2010661261,2,1,1
5,39,114,1625870301,2,1,1
6,47,101,931434276,2,1,1
2,55,101,931434276,3,1,1
2,58,97,1667880795,3,1,1
2,49,109,2041198229,3,1,1
4,45,102,68255111,3,1,1
2,50,107,565658500,3,1,1
2,55,100,621199271,3,1,1
2,50,99,686211980,3,1,1
0,57,102,901600570,3,1,1
1,52,116,873263073,3,1,1
1,47,113,1728210588,3,1,1
0,45,116,1728210588,50,1,1
0,52,112,1896411286,50,1,1
0,57,102,934248825,50,1,1
0,41,124,731631110,50,1,1
0,52,107,1083477084,50,1,1
0,46,123,1853038991,50,1,1
0,50,111,1859437993,50,1,1
0,43,122,1183341954,50,1,1
0,55,105,528590700,50,1,1
0,37,131,834643580,50,1,1
93,10,70,834643580,0.5,1,1.3
93,7,74,98124905,0.5,1,1.3
128,9,53,2027834461,0.5,1,1.3
90,10,67,467197810,0.5,1,1.3
100,33,60,2065483606,0.5,1,1.3
90,6,70,394760856,0.5,1,1.3
96,10,61,828343175,0.5,1,1.3
100,34,58,1780867108,0.5,1,1.3
87,13,72,1058835053,0.5,1,1.3
77,8,69,804474230,0.5,1,1.3
76,8,69,804474230,0.6,1,1.3
100,9,61,77753288,0.6,1,1.3
87,10,68,351706672,0.6,1,1.3
77,13,74,1902520999,0.6,1,1.3
90,11,60,171140079,0.6,1,1.3
107,24,58,1881748180,0.6,1,1.3
90,13,61,63966617,0.6,1,1.3
102,8,64,108990013,0.6,1,1.3
92,13,70,954826256,0.6,1,1.3
92,14,69,502856331,0.6,1,1.3
62,18,75,502856331,0.9,1,1.3
66,12,76,1470964861,0.9,1,1.3
80,24,65,881807945,0.9,1,1.3
70,14,72,2095783217,0.9,1,1.3
63,15,75,61389003,0.9,1,1.3
63,14,80,1224573937,0.9,1,1.3
74,16,69,1141481990,0.9,1,1.3
60,19,69,1489139399,0.9,1,1.3
70,16,71,1584388382,0.9,1,1.3
71,11,76,2120523097,0.9,1,1.3
34,8,110,2120523097,1,1,1.3
39,14,105,482510527,1,1,1.3
40,12,97,1824445163,1,1,1.3
29,11,112,861161106,1,1,1.3
39,14,100,708833903,1,1,1.3
33,12,102,2061636491,1,1,1.3
27,19,101,255283181,1,1,1.3
33,9,105,77533521,1,1,1.3
33,13,100,1572496085,1,1,1.3
35,7,109,121138823,1,1,1.3
35,8,109,121138823,1.1,1,1.3
30,12,111,548325033,1.1,1,1.3
29,11,106,1012413948,1.1,1,1.3
33,9,108,1857069376,1.1,1,1.3
35,13,103,442965011,1.1,1,1.3
35,13,106,2021170607,1.1,1,1.3
29,17,102,171734769,1.1,1,1.3
37,11,102,769979801,1.1,1,1.3
38,14,103,1726080045,1.1,1,1.3
36,14,103,651222055,1.1,1,1.3
23,20,108,651222055,1.5,1,1.3
21,24,98,738781287,1.5,1,1.3
19,29,98,143901180,1.5,1,1.3
18,23,104,1624382227,1.5,1,1.3
21,22,106,1627975512,1.5,1,1.3
20,27,98,1315523212,1.5,1,1.3
19,25,102,993873631,1.5,1,1.3
18,17,111,534331779,1.5,1,1.3
15,24,105,1944923838,1.5,1,1.3
20,28,108,31843610,1.5,1,1.3
12,33,115,31843610,1.9,1,1.3
18,31,101,1646207114,1.9,1,1.3
19,16,121,1862593678,1.9,1,1.3
11,31,102,1215636810,1.9,1,1.3
11,31,106,1214746213,1.9,1,1.3
13,27,106,109677185,1.9,1,1.3
11,32,105,883867846,1.9,1,1.3
13,27,105,160598938,1.9,1,1.3
14,24,104,623283183,1.9,1,1.3
15,22,111,260417128,1.9,1,1.3
9,25,122,260417128,2,1,1.3
8,25,119,1169804465,2,1,1.3
8,26,117,482825512,2,1,1.3
9,34,115,696789308,2,1,1.3
4,31,116,1938577879,2,1,1.3
10,26,113,1825105793,2,1,1.3
8,29,113,1012238228,2,1,1.3
8,29,117,275161476,2,1,1.3
10,32,112,701215923,2,1,1.3
8,37,106,1607776918,2,1,1.3
2,45,108,1607776918,3,1,1.3
0,46,121,1102921638,3,1,1.3
3,32,119,856111213,3,1,1.3
2,42,114,2135529659,3,1,1.3
3,42,101,1291701105,3,1,1.3
3,35,116,1250313330,3,1,1.3
2,29,125,8262978,3,1,1.3
3,29,128,1159344193,3,1,1.3
3,34,113,42080979,3,1,1.3
4,36,110,212024815,3,1,1.3
0,47,114,212024815,50,1,1.3
0,43,116,569900510,50,1,1.3
0,42,120,1665924589,50,1,1.3
0,42,123,1196889326,50,1,1.3
0,40,129,1778131520,50,1,1.3
0,46,121,619792063,50,1,1.3
0,45,115,795758701,50,1,1.3
0,47,123,860284226,50,1,1.3
0,40,124,736954777,50,1,1.3
0,27,141,1394994539,50,1,1.3
96,8,68,1394994539,0.5,1,1.5
82,10,68,2098210085,0.5,1,1.5
95,7,66,962712642,0.5,1,1.5
107,9,64,315804583,0.5,1,1.5
76,11,68,1754240498,0.5,1,1.5
109,9,59,1752908087,0.5,1,1.5
105,17,61,657922757,0.5,1,1.5
88,11,71,364817296,0.5,1,1.5
93,15,68,856421022,0.5,1,1.5
91,10,69,483678401,0.5,1,1.5
91,10,69,483678401,0.6,1,1.5
98,6,65,649938828,0.6,1,1.5
84,20,64,578835790,0.6,1,1.5
91,8,71,1476553487,0.6,1,1.5
90,9,67,1442605752,0.6,1,1.5
96,13,58,1112991408,0.6,1,1.5
77,9,79,1504897624,0.6,1,1.5
100,9,64,1565479999,0.6,1,1.5
96,14,64,1626743751,0.6,1,1.5
86,14,77,1879449917,0.6,1,1.5
72,10,77,1879449917,0.9,1,1.5
64,10,87,795311314,0.9,1,1.5
71,10,76,2002462138,0.9,1,1.5
71,6,76,410036942,0.9,1,1.5
70,9,78,1216889287,0.9,1,1.5
76,14,69,1924010095,0.9,1,1.5
79,12,70,1068447083,0.9,1,1.5
76,16,68,1794637303,0.9,1,1.5
70,12,76,368147068,0.9,1,1.5
81,7,73,909959443,0.9,1,1.5
37,7,110,909959443,1,1,1.5
34,13,106,2011335878,1,1,1.5
36,11,109,485466615,1,1,1.5
31,9,108,2095664187,1,1,1.5
31,10,117,728151902,1,1,1.5
32,8,109,827074916,1,1,1.5
33,17,99,109738478,1,1,1.5
36,16,103,1644145287,1,1,1.5
31,12,110,1766409532,1,1,1.5
35,12,109,2027091124,1,1,1.5
33,11,109,2027091124,1.1,1,1.5
34,11,99,1448954635,1.1,1,1.5
39,14,98,1217340167,1.1,1,1.5
34,8,112,1387422816,1.1,1,1.5
36,12,95,1424548071,1.1,1,1.5
32,12,106,884841510,1.1,1,1.5
30,16,106,1194907033,1.1,1,1.5
38,11,104,171759813,1.1,1,1.5
28,14,104,2069911873,1.1,1,1.5
35,9,110,1215389960,1.1,1,1.5
12,24,113,1215389960,1.5,1,1.5
16,26,108,1312051193,1.5,1,1.5
18,16,113,1080096742,1.5,1,1.5
15,25,107,426201833,1.5,1,1.5
20,20,108,1861873850,1.5,1,1.5
20,19,105,1295205001,1.5,1,1.5
14,34,108,754216332,1.5,1,1.5
19,26,102,877013657,1.5,1,1.5
21,21,103,442127389,1.5,1,1.5
14,28,109,1689488355,1.5,1,1.5
12,30,108,1689488355,1.9,1,1.5
19,24,104,673510328,1.9,1,1.5
18,22,107,753243812,1.9,1,1.5
14,21,110,68094902,1.9,1,1.5
14,26,105,470391967,1.9,1,1.5
11,33,111,922354475,1.9,1,1.5
20,17,113,227464612,1.9,1,1.5
20,31,92,1578481431,1.9,1,1.5
19,22,108,707810443,1.9,1,1.5
15,26,102,1293241545,1.9,1,1.5
11,24,109,1293241545,2,1,1.5
9,28,112,1785343184,2,1,1.5
7,22,127,1800243617,2,1,1.5
10,27,112,284034580,2,1,1.5
10,20,122,1477296981,2,1,1.5
8,20,123,243994281,2,1,1.5
7,21,128,1572665658,2,1,1.5
7,22,120,1070141732,2,1,1.5
13,20,121,1903585966,2,1,1.5
14,23,112,2096568675,2,1,1.5
5,40,107,2096568675,3,1,1.5
3,32,123,688017381,3,1,1.5
3,30,128,1190731664,3,1,1.5
3,41,111,775776647,3,1,1.5
2,27,133,1681957414,3,1,1.5
2,36,116,270683716,3,1,1.5
2,33,108,288792145,3,1,1.5
4,29,124,768972752,3,1,1.5
2,36,125,804541707,3,1,1.5
4,31,117,900056736,3,1,1.5
0,44,122,900056736,50,1,1.5
0,37,131,991080306,50,1,1.5
0,38,118,1522329129,50,1,1.5
0,44,115,997036235,50,1,1.5
0,36,133,1186438977,50,1,1.5
0,44,120,1227514967,50,1,1.5
0,44,118,1584624070,50,1,1.5
0,52,115,1806388500,50,1,1.5
0,38,130,1989913546,50,1,1.5
0,55,104,848157433,50,1,1.5
84,5,69,848157433,0.5,1,2
97,14,68,277697634,0.5,1,2
89,5,75,833916522,0.5,1,2
89,9,76,1396305025,0.5,1,2
96,5,67,608067452,0.5,1,2
97,14,75,942918109,0.5,1,2
97,30,71,1492795235,0.5,1,2
99,9,70,1949680890,0.5,1,2
88,5,73,1782910083,0.5,1,2
90,4,80,83880333,0.5,1,2
90,4,80,83880333,0.6,1,2
95,5,71,1186223687,0.6,1,2
91,21,68,2091424020,0.6,1,2
96,11,66,789891687,0.6,1,2
97,7,66,625668035,0.6,1,2
99,8,68,1473739595,0.6,1,2
109,3,68,773790670,0.6,1,2
95,7,70,1662443683,0.6,1,2
94,7,69,440758434,0.6,1,2
87,6,74,1158632678,0.6,1,2
77,6,80,1158632678,0.9,1,2
94,8,71,1346487615,0.9,1,2
76,12,78,1135997388,0.9,1,2
72,6,84,443746719,0.9,1,2
78,11,80,1248214834,0.9,1,2
82,21,81,1360131927,0.9,1,2
73,6,74,1331218440,0.9,1,2
71,5,84,1200496419,0.9,1,2
94,3,74,1543055996,0.9,1,2
85,5,74,971125203,0.9,1,2
41,9,103,971125203,1,1,2
35,8,112,1789569790,1,1,2
41,8,109,636048840,1,1,2
30,7,113,1868556966,1,1,2
34,8,106,2081820357,1,1,2
34,6,108,539632917,1,1,2
30,10,117,1039033511,1,1,2
35,9,113,22392463,1,1,2
36,10,103,1379674296,1,1,2
41,10,108,1682441388,1,1,2
41,10,108,1682441388,1.1,1,2
34,6,108,802927125,1.1,1,2
26,8,119,459673278,1.1,1,2
32,9,119,1851607723,1.1,1,2
35,10,109,1854065296,1.1,1,2
