recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
107,141,291,1019,1.5,1,1.1
121,134,280,59343409,1.5,1,1.1
98,140,308,1859830182,1.5,1,1.1
140,123,281,41706080,1.5,1,1.1
113,138,288,187187098,1.5,1,1.1
107,131,304,524402820,1.5,1,1.1
116,131,292,1474993090,1.5,1,1.1
110,142,291,828657010,1.5,1,1.1
110,152,278,970162666,1.5,1,1.1
119,140,284,1037903457,1.5,1,1.1
94,159,292,1037903457,1.9,1,1.1
86,146,310,39307724,1.9,1,1.1
86,155,307,145043310,1.9,1,1.1
95,150,289,1785889513,1.9,1,1.1
90,154,307,14011675,1.9,1,1.1
85,191,282,903295028,1.9,1,1.1
91,164,297,1156952575,1.9,1,1.1
91,143,300,228522257,1.9,1,1.1
98,150,296,2064558783,1.9,1,1.1
96,150,295,2051086765,1.9,1,1.1
66,142,353,2051086765,2,1,1.1
62,172,313,586880837,2,1,1.1
62,130,364,779618118,2,1,1.1
60,157,367,1789488692,2,1,1.1
73,131,345,921169067,2,1,1.1
72,168,306,701557706,2,1,1.1
75,153,306,649734035,2,1,1.1
52,155,357,1230111825,2,1,1.1
59,148,365,235823845,2,1,1.1
57,155,362,763337194,2,1,1.1
16,196,381,763337194,3,1,1.1
17,219,364,978364701,3,1,1.1
23,207,362,2109425344,3,1,1.1
23,213,357,1109749418,3,1,1.1
22,196,382,1664421100,3,1,1.1
27,203,359,2042617888,3,1,1.1
32,196,368,858025831,3,1,1.1
20,211,364,1090059350,3,1,1.1
21,218,365,1502303633,3,1,1.1
18,213,366,1653900805,3,1,1.1
0,231,404,1653900805,50,1,1.1
0,245,408,872824949,50,1,1.1
0,220,418,1076919116,50,1,1.1
0,253,382,1086540206,50,1,1.1
0,253,396,116085519,50,1,1.1
0,250,391,707893790,50,1,1.1
0,233,401,687437410,50,1,1.1
0,223,417,794628263,50,1,1.1
0,223,399,2144107614,50,1,1.1
0,268,371,1494063463,50,1,1.1
122,133,287,1494063463,1.5,1,1.3
131,119,278,1200239144,1.5,1,1.3
119,129,290,641457750,1.5,1,1.3
115,143,279,824922772,1.5,1,1.3
123,133,287,1470332625,1.5,1,1.3
109,122,297,1800281919,1.5,1,1.3
113,125,298,902750880,1.5,1,1.3
131,128,271,1841983453,1.5,1,1.3
113,131,296,304654761,1.5,1,1.3
116,122,305,1500085323,1.5,1,1.3
99,134,316,1500085323,1.9,1,1.3
96,140,303,236394359,1.9,1,1.3
99,138,307,1261837771,1.9,1,1.3
96,134,299,778522136,1.9,1,1.3
92,141,313,1409542268,1.9,1,1.3
100,151,287,1125135220,1.9,1,1.3
92,141,315,1078864898,1.9,1,1.3
102,130,297,1001399878,1.9,1,1.3
106,151,284,1929087797,1.9,1,1.3
101,150,302,1788697842,1.9,1,1.3
75,145,332,1788697842,2,1,1.3
80,139,354,2119688016,2,1,1.3
64,150,349,264542023,2,1,1.3
54,152,357,2042702295,2,1,1.3
60,148,355,239485170,2,1,1.3
73,156,341,975751181,2,1,1.3
65,139,366,1039215306,2,1,1.3
64,138,369,1357599525,2,1,1.3
72,141,340,773123442,2,1,1.3
72,162,325,987795465,2,1,1.3
25,206,361,987795465,3,1,1.3
23,212,348,628010692,3,1,1.3
25,171,400,723690045,3,1,1.3
