recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
361,400,1395,1082,1.9,1,1.3
334,421,1420,1641874877,1.9,1,1.3
387,399,1394,1064009384,1.9,1,1.3
344,398,1425,1969281618,1.9,1,1.3
346,382,1441,9695746,1.9,1,1.3
238,407,1583,9695746,2,1,1.3
214,412,1633,1389301105,2,1,1.3
218,437,1576,1771763762,2,1,1.3
226,390,1614,61591363,2,1,1.3
211,431,1592,1950748825,2,1,1.3
90,544,1701,1950748825,3,1,1.3
83,510,1735,104633258,3,1,1.3
95,537,1706,253410708,3,1,1.3
87,540,1711,1859522715,3,1,1.3
81,564,1680,1781918866,3,1,1.3
0,641,1859,1781918866,50,1,1.3
0,693,1817,997650092,50,1,1.3
0,644,1864,355723737,50,1,1.3
0,642,1874,875179783,50,1,1.3
0,652,1865,1668138861,50,1,1.3
392,345,1442,1668138861,1.9,1,1.5
394,358,1427,269165149,1.9,1,1.5
389,321,1468,1399291802,1.9,1,1.5
382,358,1397,9344008,1.9,1,1.5
388,386,1391,1556117580,1.9,1,1.5
242,408,1592,1556117580,2,1,1.5
263,401,1585,195139334,2,1,1.5
249,379,1626,632840943,2,1,1.5
246,366,1620,1667289720,2,1,1.5
254,368,1608,375985889,2,1,1.5
102,512,1732,375985889,3,1,1.5
92,552,1691,842200811,3,1,1.5
95,482,1770,698265558,3,1,1.5
84,458,1806,1757811141,3,1,1.5
89,470,1783,55646241,3,1,1.5
0,588,1931,55646241,50,1,1.5
0,606,1927,1726229241,50,1,1.5
0,577,1930,1681480329,50,1,1.5
0,594,1914,940687150,50,1,1.5
0,634,1896,751740458,50,1,1.5
614,118,1475,751740458,1.9,1,2
621,91,1506,2134029716,1.9,1,2
596,113,1503,754633594,1.9,1,2
593,119,1499,386804335,1.9,1,2
598,118,1479,236412037,1.9,1,2
261,245,1817,236412037,2,1,2
254,239,1792,66157498,2,1,2
249,294,1762,555435697,2,1,2
261,274,1758,1634098214,2,1,2
249,257,1807,1727303431,2,1,2
107,311,1976,1727303431,3,1,2
124,325,1955,757054115,3,1,2
123,343,1916,1315682379,3,1,2
114,357,1904,957632175,3,1,2
113,333,1933,1720536744,3,1,2
0,436,2148,1720536744,50,1,2
0,431,2184,1279507693,50,1,2
0,456,2169,1732808999,50,1,2
0,475,2110,399180579,50,1,2
0,434,2215,468682032,50,1,2
640,57,1569,468682032,1.9,1,3
657,49,1555,1149366916,1.9,1,3
649,42,1565,1335625629,1.9,1,3
642,57,1564,1491012951,1.9,1,3
648,40,1565,1993146652,1.9,1,3
371,79,1921,1993146652,2,1,3
376,74,1913,354327046,2,1,3
359,60,2005,887144568,2,1,3
369,76,1935,2005415534,2,1,3
359,68,1964,527675639,2,1,3
182,158,2138,527675639,3,1,3
194,176,2084,307372650,3,1,3
176,154,2147,603589428,3,1,3
172,163,2111,841289944,3,1,3
205,171,2104,1649971578,3,1,3
0,290,2483,1649971578,50,1,3
0,237,2574,1343444736,50,1,3
0,302,2479,2067461596,50,1,3
0,316,2407,504533213,50,1,3
0,308,2436,245910470,50,1,3
686,3,1635,245910470,1.9,1,50
704,9,1594,1852112632,1.9,1,50
716,0,1589,1377628548,1.9,1,50
710,3,1586,1158865553,1.9,1,50
707,5,1605,1475067006,1.9,1,50
442,4,2036,1475067006,2,1,50
449,3,1973,191491533,2,1,50
436,8,2018,714482227,2,1,50
429,10,2028,551153190,2,1,50
446,4,2020,808166659,2,1,50
350,4,2230,808166659,3,1,50
345,9,2267,1717383183,3,1,50
295,8,2309,1708344667,3,1,50
352,1,2261,1899232668,3,1,50
324,3,2256,1734558825,3,1,50
0,1,3772,1734558825,50,1,50
0,0,3737,1956628297,50,1,50
0,0,3784,2011607411,50,1,50
0,2,3796,189134904,50,1,50
0,3,3694,1795091841,50,1,50
253,646,1507,955,2,1,1.5
250,648,1514,1324121107,2,1,1.5
251,642,1521,319883608,2,1,1.5
270,648,1525,194012632,2,1,1.5
256,669,1504,741847356,2,1,1.5
125,718,1533,741847356,3,1,1.5
114,717,1549,779627275,3,1,1.5
112,692,1586,1109941275,3,1,1.5
122,648,1635,1076013194,3,1,1.5
112,717,1581,130056447,3,1,1.5
0,775,1757,130056447,50,1,1.5
0,829,1677,1607584541,50,1,1.5
0,756,1796,1590008490,50,1,1.5
0,764,1755,1990119615,50,1,1.5
0,775,1767,1199212859,50,1,1.5
354,305,1861,1199212859,2,1,2
319,273,1927,1721411497,2,1,2
343,296,1842,1116813600,2,1,2
361,267,1857,1919717446,2,1,2
333,316,1856,2107833624,2,1,2
184,352,1983,2107833624,3,1,2
159,348,1980,479903579,3,1,2
152,347,1964,223878348,3,1,2
166,344,1950,705193431,3,1,2
152,382,1945,1302791617,3,1,2
0,435,2166,1302791617,50,1,2
0,508,2061,894796301,50,1,2
0,455,2174,35332454,50,1,2
0,463,2149,1129598898,50,1,2
0,471,2138,781194054,50,1,2
399,176,2071,781194054,2,1,3
406,167,2116,1962868746,2,1,3
389,135,2107,388053689,2,1,3
394,169,2071,1715153563,2,1,3
401,149,2124,1909105826,2,1,3
225,145,2284,1909105826,3,1,3
236,191,2209,1361502082,3,1,3
221,167,2208,961097804,3,1,3
234,205,2197,1898185431,3,1,3
229,177,2242,1496440056,3,1,3
0,306,2465,1496440056,50,1,3
0,309,2422,340282926,50,1,3
0,248,2499,243597217,50,1,3
0,291,2489,1312084852,50,1,3
0,292,2474,1780308604,50,1,3
400,15,2898,1780308604,2,1,50
387,9,3023,1565283489,2,1,50
417,2,2927,524812504,2,1,50
391,1,3061,1024783368,2,1,50
379,11,3049,1442450489,2,1,50
268,9,3152,1442450489,3,1,50
240,4,3117,1553114107,3,1,50
261,9,3209,1534803994,3,1,50
283,12,3057,513808838,3,1,50
266,12,3173,595824487,3,1,50
0,0,3736,595824487,50,1,50
0,1,3852,1021022285,50,1,50
0,1,3813,1137841332,50,1,50
0,1,3850,1774475361,50,1,50
0,3,3954,221441999,50,1,50
